date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2007-07-02,9.2,8.94,9.2,8.94,0.0,0,50000,13,448470
2007-07-03,8.91,8.88,8.91,8.84,-0.06,-1,83000,11,737270
2007-07-04,8.79,8.75,8.8,8.75,-0.13,-1,213000,11,1873780
2007-07-05,8.76,8.66,8.85,8.66,-0.09,-1,230000,26,2010370
2007-07-06,8.61,8.59,8.61,8.58,-0.07,-1,171000,20,1469750
2007-07-09,8.56,8.47,8.59,8.47,-0.12,-1,86000,19,733250
2007-07-10,8.51,8.38,8.51,8.38,-0.09,-1,137000,27,1155950
2007-07-11,8.3,8.15,8.3,8.15,-0.23,-1,538000,57,4420070
2007-07-12,8.2,8.03,8.2,8.03,-0.12,-1,295000,46,2390230
2007-07-13,8.06,7.94,8.07,7.92,-0.09,-1,996000,81,7954270
2007-07-16,7.93,7.86,8.0,7.85,-0.08,-1,940000,70,7440410
2007-07-17,7.86,7.83,7.94,7.83,-0.03,-1,946000,51,7490050
2007-07-18,7.84,7.86,7.92,7.83,0.03,1,530000,52,4178380
2007-07-19,7.9,7.85,7.93,7.85,-0.01,-1,540000,45,4264140
2007-07-20,7.86,7.85,7.88,7.85,0.0,0,481000,39,3780940
2007-07-23,7.86,7.9,7.92,7.86,0.05,1,454000,38,3587340
2007-07-24,7.9,7.91,7.91,7.87,0.01,1,404000,23,3190040
2007-07-25,7.93,7.87,7.93,7.87,-0.04,-1,150000,19,1182850
2007-07-26,7.87,7.9,7.96,7.87,0.03,1,629000,23,4975840
2007-07-27,7.96,7.89,7.96,7.88,-0.01,-1,277000,23,2187390
2007-07-30,7.89,7.88,7.9,7.88,-0.01,-1,59000,4,465530
2007-07-31,7.9,8.08,8.08,7.85,0.2,1,329000,21,2642050
2007-08-01,8.08,7.85,8.08,7.85,-0.23,-1,164000,24,1301370
2007-08-02,7.86,7.81,7.86,7.81,-0.04,-1,219000,19,1717460
2007-08-03,7.8,7.75,7.8,7.75,-0.06,-1,194000,19,1504700
2007-08-06,7.75,7.75,7.75,7.74,0.0,0,25000,6,193740
2007-08-07,7.75,7.7,7.75,7.7,-0.05,-1,160000,18,1235860
2007-08-08,7.7,7.7,7.72,7.7,0.0,0,54000,6,416220
2007-08-09,7.7,7.7,7.7,7.65,0.0,0,102000,18,785150
2007-08-10,7.69,7.59,7.7,7.59,-0.11,-1,452000,37,3463260
2007-08-13,7.56,7.56,7.57,7.52,-0.03,-1,237000,24,1790700
2007-08-14,7.56,7.54,7.56,7.53,-0.02,-1,326000,31,2457640
2007-08-15,7.53,7.53,7.6,7.53,-0.01,-1,285000,15,2149630
2007-08-16,7.53,7.84,7.97,7.52,0.31,1,315000,16,2376140
2007-08-17,7.8,7.5,7.8,7.5,-0.34,-1,159000,15,1201150
2007-08-20,7.75,7.7,7.75,7.69,0.2,1,112000,3,861650
2007-08-21,7.7,7.6,7.7,7.55,-0.1,-1,10000,5,76400
2007-08-22,7.87,7.6,7.87,7.6,0.0,0,339000,15,2614550
2007-08-23,7.6,7.59,7.6,7.59,-0.01,-1,161000,7,1223590
2007-08-24,7.6,7.51,7.6,7.51,-0.08,-1,37000,7,279170
2007-08-27,7.52,7.52,7.56,7.52,0.01,1,677000,26,5098440
2007-08-28,7.67,7.6,7.67,7.54,0.08,1,206000,12,1573480
2007-08-29,7.68,7.78,7.89,7.68,0.18,1,664000,27,5161790
2007-08-30,7.76,7.63,7.76,7.63,0.0,0,175000,8,1348060
2007-08-31,7.72,7.64,7.72,7.6,0.01,1,159000,6,1222450
2007-09-03,7.6,7.6,7.6,7.6,-0.04,-1,9000,3,68400
2007-09-04,7.6,7.6,7.6,7.57,0.0,0,209000,13,1588340
2007-09-05,7.6,7.51,7.6,7.51,-0.09,-1,104000,4,781310
2007-09-06,7.58,7.52,7.6,7.5,0.01,1,961000,27,7225580
2007-09-07,7.55,7.54,7.55,7.51,0.02,1,117000,5,881950
2007-09-10,7.55,7.55,7.55,7.55,0.01,1,132000,9,996600
2007-09-11,7.55,7.51,7.55,7.5,-0.04,-1,355000,15,2665430
2007-09-12,7.51,7.53,7.53,7.51,0.02,1,219000,13,1648340
2007-09-13,7.54,7.53,7.54,7.5,0.0,0,202000,9,1519890
2007-09-14,7.54,7.53,7.54,7.53,0.0,0,75000,4,564800
2007-09-17,7.51,7.54,7.54,7.51,0.01,1,10000,2,75250
2007-09-19,7.54,7.51,7.55,7.51,-0.03,-1,90000,12,678890
2007-09-20,7.52,7.52,7.52,7.51,0.01,1,68000,7,510810
2007-09-21,7.53,7.52,7.53,7.52,0.0,0,64000,5,481330
2007-09-26,7.52,7.52,7.52,7.51,0.0,0,55000,5,413550
2007-09-27,7.52,7.52,7.52,7.52,0.0,0,50000,3,376000
2007-09-28,7.52,7.53,7.53,7.51,0.01,1,301000,25,2264510
2007-09-29,7.5,7.53,7.53,7.48,0.0,0,451000,41,3385240
2007-10-01,7.52,7.5,7.52,7.5,-0.03,-1,66000,4,496220
2007-10-02,7.52,7.5,7.52,7.5,0.0,0,86000,7,645210
2007-10-03,7.5,7.51,7.52,7.5,0.01,1,409000,20,3071000
2007-10-04,7.5,7.49,7.52,7.48,-0.02,-1,822000,34,6159840
2007-10-05,7.5,7.5,7.5,7.5,0.01,1,220000,7,1650000
2007-10-08,7.5,7.52,7.52,7.5,0.02,1,199000,9,1492680
2007-10-09,7.51,7.5,7.51,7.48,-0.02,-1,474000,23,3552260
2007-10-11,7.5,7.5,7.52,7.48,0.0,0,364000,16,2727630
2007-10-12,7.5,7.5,7.5,7.5,0.0,0,50000,3,375000
2007-10-15,7.5,7.48,7.5,7.48,-0.02,-1,215000,12,1609320
2007-10-16,7.5,7.46,7.5,7.46,-0.02,-1,495000,14,3704970
2007-10-17,7.48,7.47,7.49,7.46,0.01,1,206000,11,1540260
2007-10-18,7.48,7.46,7.48,7.46,-0.01,-1,258000,17,1927580
2007-10-19,7.48,7.47,7.48,7.47,0.01,1,425000,13,3177050
2007-10-22,7.48,7.48,7.49,7.48,0.01,1,291000,9,2177680
2007-10-23,7.48,7.49,7.49,7.47,0.01,1,249000,10,1863790
2007-10-24,7.49,7.49,7.49,7.49,0.0,0,55000,3,411950
2007-10-25,7.5,7.49,7.5,7.49,0.0,0,105000,5,787450
2007-10-26,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2007-10-29,7.49,7.5,7.5,7.49,0.01,1,123000,5,922400
2007-10-30,7.49,7.49,7.51,7.49,-0.01,-1,202000,12,1513810
2007-10-31,7.49,7.49,7.49,7.49,0.0,0,70000,3,524300
2007-11-01,7.49,7.49,7.49,7.48,0.0,0,159000,7,1190410
2007-11-02,7.49,7.49,7.49,7.49,0.0,0,50000,1,374500
2007-11-05,7.5,7.46,7.5,7.46,-0.03,-1,226000,8,1687830
2007-11-06,7.47,7.49,7.49,7.47,0.03,1,77000,8,576090
2007-11-07,7.49,7.49,7.49,7.48,0.0,0,135000,5,1010650
2007-11-08,7.48,7.48,7.49,7.46,-0.01,-1,126000,8,941510
2007-11-09,7.46,7.46,7.48,7.45,-0.02,-1,432000,18,3223420
2007-11-12,7.46,7.46,7.46,7.38,0.0,0,171000,12,1268000
2007-11-13,7.4,7.4,7.4,7.38,-0.06,-1,30000,8,221800
2007-11-14,7.4,7.45,7.45,7.4,0.05,1,186000,7,1380450
2007-11-15,7.45,7.45,7.45,7.45,0.0,0,100000,2,745000
2007-11-16,7.45,7.45,7.45,7.45,0.0,0,53000,2,394850
2007-11-19,7.45,7.45,7.46,7.45,0.0,0,393000,10,2930750
2007-11-20,7.45,7.45,7.45,7.45,0.0,0,100000,3,745000
2007-11-21,7.45,7.5,7.5,7.45,0.05,1,105000,3,783000
2007-11-22,7.41,7.46,7.46,7.41,-0.04,-1,205000,6,1528670
2007-11-23,7.45,7.45,7.46,7.43,-0.01,-1,400000,13,2979500
2007-11-26,7.45,7.45,7.47,7.45,0.0,0,209000,11,1558890
2007-11-27,7.45,7.46,7.46,7.44,0.01,1,180000,9,1341620
2007-11-28,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2007-11-29,7.45,7.45,7.45,7.45,-0.01,-1,150000,15,1117500
2007-11-30,7.45,7.45,7.45,7.45,0.0,0,275000,8,2048750
2007-12-03,7.45,7.45,7.46,7.45,0.0,0,350000,13,2608000
2007-12-04,7.46,7.46,7.46,7.45,0.01,1,250000,8,1864500
2007-12-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2007-12-06,7.58,7.57,7.58,7.57,0.11,1,50000,4,378600
2007-12-07,7.5,7.46,7.5,7.46,-0.11,-1,19000,7,141780
2007-12-10,7.47,7.47,7.47,7.47,0.01,1,57000,2,425790
2007-12-11,7.5,7.46,7.5,7.44,-0.01,-1,238000,36,1774390
2007-12-12,7.44,7.45,7.45,7.3,-0.01,-1,1112000,34,8230900
2007-12-13,7.39,7.39,7.39,7.39,-0.06,-1,3000,1,22170
2007-12-14,7.4,7.38,7.4,7.38,-0.01,-1,208000,4,1538040
