date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2011-07-08,9.2,9.8,9.8,9.2,0.85,1,37000,4,361550
2011-07-11,8.7,8.5,8.7,8.4,-1.3,-1,52000,7,441800
2011-07-12,8.55,10.3,10.4,8.55,1.8,1,244000,20,2497900
2011-07-13,10.3,10.2,10.5,10.1,-0.1,-1,125000,12,1274400
2011-07-14,10.3,10.4,10.8,10.3,0.2,1,15000,8,158800
2011-07-15,10.4,10.4,10.4,10.4,0.0,0,6000,2,62400
2011-07-18,10.3,10.5,10.5,10.3,0.1,1,100000,2,1030200
2011-07-19,10.3,10.2,10.3,10.2,-0.3,-1,3000,2,30800
2011-07-20,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-07-21,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-07-22,10.3,10.3,10.3,10.3,0.1,1,28000,3,288400
2011-07-25,10.5,10.8,11.0,10.5,0.5,1,26000,5,281900
2011-07-26,10.6,10.5,10.6,10.5,-0.3,-1,37000,3,389500
2011-07-27,10.5,10.3,10.5,10.3,-0.2,-1,16000,4,165400
2011-07-28,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-07-29,10.3,10.3,10.3,10.3,0.0,0,1000,1,10300
2011-08-01,10.7,10.6,10.7,10.6,0.3,1,3000,2,32000
2011-08-02,10.6,10.9,10.9,10.6,0.3,1,104000,4,1133300
2011-08-03,12.2,12.9,13.1,12.2,2.0,1,12000,5,155000
2011-08-04,12.9,13.4,13.4,12.9,0.5,1,13000,5,169300
2011-08-05,15.4,15.4,15.4,15.4,2.0,1,51000,3,785400
2011-08-08,16.9,17.2,17.2,16.9,1.8,1,3000,3,51300
2011-08-09,18.8,17.9,18.9,17.9,0.7,1,54000,3,1017500
2011-08-10,16.2,17.8,17.8,16.2,-0.1,-1,7000,4,118800
2011-08-11,18.1,17.5,18.1,17.5,-0.3,-1,51000,2,893100
2011-08-12,16.8,16.9,16.9,16.6,-0.6,-1,269000,5,4519100
2011-08-15,16.8,17.3,17.3,16.8,0.4,1,80000,3,1374000
2011-08-16,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-08-17,17.3,17.9,17.9,17.3,0.6,1,60000,7,1043600
2011-08-18,18.1,18.8,18.8,18.1,0.9,1,2000,2,36900
2011-08-19,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-08-22,20.2,21.0,21.0,20.2,0.9,1,10000,4,203400
2011-08-23,19.8,19.8,19.8,19.5,-1.2,-1,349000,7,6858400
2011-08-24,19.8,19.8,19.8,19.8,0.0,0,1000,1,19800
2011-08-25,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-08-26,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-08-29,21.6,21.6,21.6,21.6,0.0,0,1000,1,21600
2011-08-30,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-08-31,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-09-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-09-02,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-09-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-09-06,21.4,21.4,21.4,21.4,0.6,1,1000,1,21400
2011-09-07,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-09-08,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-09-09,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-09-13,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-09-14,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-09-15,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-09-16,23.0,22.9,23.0,22.9,-0.5,-1,2000,2,45900
2011-09-19,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-09-20,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-09-21,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-09-22,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-09-23,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-09-26,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-09-27,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-09-28,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-09-29,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-09-30,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-10-03,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-10-04,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-10-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
