date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2016-09-29,3.99,3.98,3.99,3.96,-0.14,-1,73000,17,290590
2016-09-30,4.03,3.99,4.03,3.99,0.01,1,16000,4,64190
2016-10-03,3.97,3.93,3.97,3.93,-0.06,-1,28000,7,110300
2016-10-04,3.89,3.89,3.9,3.88,-0.04,-1,29000,7,112830
2016-10-05,3.62,3.64,3.64,3.62,-0.25,-1,38000,9,138060
2016-10-06,3.59,3.58,3.59,3.56,-0.06,-1,49000,12,175490
2016-10-07,3.51,3.5,3.53,3.5,-0.08,-1,33000,12,116090
2016-10-11,3.5,3.57,3.57,3.5,0.07,1,25000,4,88550
2016-10-12,3.56,3.57,3.58,3.56,0.0,0,27000,8,96230
2016-10-13,3.55,3.62,3.62,3.55,0.05,1,16000,3,57640
2016-10-14,3.58,3.58,3.58,3.58,-0.04,-1,10000,2,35800
2016-10-17,3.58,3.59,3.59,3.58,0.01,1,8000,2,28670
2016-10-18,3.6,3.61,3.63,3.6,0.02,1,37000,11,133560
2016-10-19,3.56,3.55,3.57,3.55,-0.06,-1,27000,6,96260
2016-10-20,3.63,3.65,3.65,3.63,0.1,1,16000,5,58260
2016-10-21,3.64,3.63,3.64,3.63,-0.02,-1,3000,3,10910
2016-10-24,3.65,3.65,3.65,3.65,0.02,1,20000,3,73000
2016-10-25,3.66,3.64,3.66,3.63,-0.01,-1,17000,5,62010
2016-10-26,3.68,3.7,3.7,3.68,0.06,1,30000,8,110750
2016-10-27,3.65,3.65,3.65,3.64,-0.05,-1,12000,4,43750
2016-10-31,3.72,3.72,3.72,3.72,0.04,1,45000,2,167400
2016-11-01,3.7,3.7,3.7,3.7,-0.02,-1,5000,1,18500
2016-11-02,3.75,3.84,3.84,3.75,0.14,1,54000,8,205760
2016-11-03,3.85,3.87,3.88,3.84,0.03,1,36000,10,138950
2016-11-07,3.8,3.79,3.8,3.79,-0.06,-1,17000,4,64530
2016-11-08,3.7,3.72,3.72,3.7,-0.07,-1,10000,4,37180
2016-11-09,3.68,4.08,4.08,3.68,0.36,1,120000,36,471790
2016-11-11,3.6,3.64,3.64,3.6,-0.11,-1,129000,13,468080
2016-11-14,3.33,3.33,3.35,3.33,-0.31,-1,52000,13,173970
2016-11-15,3.4,3.4,3.4,3.4,0.07,1,4000,1,13600
2016-11-16,3.4,3.4,3.4,3.39,0.0,0,15000,7,50940
2016-11-18,3.34,3.31,3.34,3.3,-0.1,-1,10000,4,33140
2016-11-21,3.32,3.32,3.32,3.32,0.01,1,5000,2,16600
2016-11-22,3.34,3.33,3.34,3.33,0.01,1,17000,8,56720
2016-11-23,3.31,3.3,3.31,3.3,-0.03,-1,8000,2,26430
2016-11-24,3.09,3.12,3.12,3.09,-0.18,-1,25000,5,77720
2016-11-25,3.03,3.04,3.04,3.03,-0.08,-1,47000,8,142580
2016-11-28,3.12,3.14,3.14,3.12,0.1,1,7000,2,21880
2016-11-30,3.12,3.12,3.12,3.12,0.01,1,3000,1,9360
2016-12-01,2.94,3.0,3.0,2.94,-0.12,-1,50000,6,148460
2016-12-02,3.02,3.02,3.02,3.02,0.02,1,11000,2,33220
2016-12-05,3.03,3.03,3.03,3.03,0.01,1,8000,5,24240
2016-12-06,3.03,3.03,3.03,3.03,0.0,0,10000,1,30300
2016-12-07,2.98,2.98,2.98,2.98,-0.05,-1,5000,1,14900
2016-12-08,2.98,2.96,2.98,2.96,-0.02,-1,43000,3,127340
2016-12-09,2.94,2.94,2.94,2.94,-0.02,-1,30000,4,88200
2016-12-12,2.87,2.86,2.88,2.86,-0.08,-1,28000,8,80260
2016-12-13,2.88,2.88,2.89,2.88,0.02,1,24000,8,69220
2016-12-14,2.86,2.85,2.86,2.85,-0.03,-1,25000,11,71390
2016-12-15,2.76,2.75,2.77,2.75,-0.1,-1,60000,15,165280
2016-12-16,2.66,2.67,2.67,2.66,-0.08,-1,36000,12,95900
2016-12-20,2.76,2.76,2.76,2.76,0.02,1,1000,1,2760
2016-12-21,2.72,2.72,2.72,2.72,-0.04,-1,3000,1,8160
2016-12-22,2.7,2.69,2.7,2.69,-0.03,-1,11000,2,29690
2016-12-23,2.71,2.71,2.71,2.71,0.02,1,10000,1,27100
2016-12-26,2.78,2.78,2.78,2.78,0.07,1,3000,1,8340
2016-12-27,2.81,2.82,2.82,2.81,0.04,1,53000,3,149430
2016-12-28,2.83,2.85,2.85,2.83,0.03,1,41000,2,116830
2016-12-29,2.91,2.91,2.91,2.91,0.06,1,38000,5,110580
2016-12-30,2.99,2.97,3.0,2.97,0.06,1,35000,8,104310
2017-01-03,2.99,2.95,2.99,2.95,-0.02,-1,60000,2,177400
2017-01-04,2.94,2.99,2.99,2.94,0.04,1,2000,2,5930
2017-01-05,3.03,3.03,3.03,3.03,0.04,1,3000,2,9090
2017-01-06,3.03,3.03,3.03,3.03,0.0,0,10000,1,30300
2017-01-09,3.06,3.06,3.06,3.06,0.03,1,10000,1,30600
2017-01-10,3.08,3.09,3.09,3.08,0.03,1,25000,3,77200
2017-01-11,3.1,3.12,3.12,3.1,0.03,1,8000,2,24860
2017-01-12,3.08,3.11,3.11,3.08,-0.01,-1,6000,4,18580
2017-01-13,3.08,3.05,3.08,3.05,-0.06,-1,10000,6,30700
2017-01-16,3.1,3.14,3.14,3.1,0.09,1,63000,7,197570
2017-01-18,3.18,3.17,3.18,3.17,0.0,0,65000,5,206550
2017-01-19,3.15,3.13,3.15,3.13,-0.04,-1,15000,2,47050
2017-01-20,3.14,3.14,3.14,3.14,0.01,1,20000,1,62800
2017-01-24,3.15,3.14,3.15,3.14,-0.01,-1,22000,4,69180
2017-02-02,3.06,3.07,3.07,3.06,-0.07,-1,49000,5,150050
2017-02-03,3.05,3.04,3.05,3.02,-0.03,-1,94000,9,285300
2017-02-06,3.05,3.07,3.07,3.05,0.03,1,52000,4,159090
2017-02-07,3.13,3.13,3.13,3.13,0.06,1,5000,1,15650
2017-02-08,3.18,3.19,3.21,3.18,0.06,1,25000,8,79900
2017-02-09,3.23,3.23,3.23,3.23,0.04,1,2000,2,6460
2017-02-10,3.16,3.12,3.16,3.12,-0.11,-1,16000,3,50360
2017-02-13,3.16,3.14,3.16,3.14,0.02,1,11000,2,34560
2017-02-14,3.1,3.1,3.11,3.08,-0.04,-1,50000,5,154800
2017-02-15,3.07,3.02,3.08,3.02,-0.08,-1,78000,13,237590
2017-02-16,3.07,3.13,3.13,3.07,0.11,1,53000,9,164620
2017-02-17,3.15,3.15,3.15,3.15,0.02,1,11000,2,34650
2017-02-18,3.12,3.12,3.12,3.12,-0.03,-1,10000,1,31200
2017-02-20,3.12,3.11,3.13,3.11,-0.01,-1,40000,4,124800
2017-02-21,3.11,3.11,3.13,3.1,0.0,0,32000,4,99460
2017-02-22,3.11,3.11,3.11,3.11,0.0,0,24000,4,74640
2017-02-23,3.13,3.14,3.14,3.11,0.03,1,22000,4,68570
2017-02-24,3.19,3.18,3.2,3.18,0.04,1,158000,8,502580
2017-03-01,3.15,3.15,3.17,3.15,-0.03,-1,51000,6,161060
2017-03-02,3.2,3.2,3.2,3.18,0.05,1,154000,7,492560
2017-03-03,3.13,3.15,3.15,3.13,-0.05,-1,30000,3,94200
2017-03-06,3.16,3.16,3.16,3.14,0.01,1,27000,4,85100
2017-03-07,3.1,3.07,3.11,3.07,-0.09,-1,84000,11,259320
2017-03-08,2.99,2.99,3.02,2.99,-0.08,-1,137000,10,411900
2017-03-09,2.96,2.95,2.96,2.95,-0.04,-1,59000,9,174450
2017-03-10,2.91,2.93,2.95,2.91,-0.02,-1,84000,10,246320
2017-03-13,2.93,2.95,2.95,2.93,0.02,1,69000,9,202590
2017-03-14,2.92,2.92,2.92,2.92,-0.03,-1,130000,5,379600
2017-03-15,2.9,2.89,2.9,2.89,-0.03,-1,134000,7,387340
2017-03-16,2.93,2.99,2.99,2.93,0.1,1,42000,6,124680
2017-03-17,2.98,2.99,2.99,2.98,0.0,0,60000,2,178900
2017-03-20,3.02,3.02,3.03,3.0,0.03,1,24000,7,72360
2017-03-21,2.99,2.95,2.99,2.95,-0.07,-1,38000,7,112560
2017-03-22,3.07,3.09,3.1,3.07,0.14,1,132000,8,406590
2017-03-23,3.09,3.09,3.09,3.09,0.0,0,49000,5,151410
2017-03-24,3.07,3.07,3.09,3.07,-0.02,-1,33000,6,101380
2017-03-27,3.15,3.1,3.16,3.1,0.03,1,84000,13,262610
2017-03-28,3.04,3.05,3.05,3.04,-0.05,-1,120000,4,365850
2017-03-29,3.03,3.01,3.03,3.01,-0.04,-1,30000,3,90600
2017-03-30,3.05,3.05,3.05,3.05,0.04,1,20000,1,61000
2017-03-31,3.03,3.02,3.03,3.02,-0.03,-1,34000,4,102780
2017-04-05,3.11,3.12,3.13,3.11,0.1,1,34000,5,106140
2017-04-06,3.13,3.16,3.16,3.13,0.04,1,70000,3,219900
2017-04-07,3.15,3.25,3.28,3.14,0.09,1,144000,19,467680
2017-04-10,3.18,3.19,3.19,3.18,-0.06,-1,11000,2,35080
2017-04-11,3.18,3.21,3.21,3.18,0.02,1,20000,2,63900
2017-04-12,3.24,3.33,3.37,3.24,0.12,1,40000,6,134160
2017-04-13,3.41,3.33,3.41,3.33,0.0,0,127000,6,424400
2017-04-14,3.35,3.33,3.35,3.33,0.0,0,30000,2,100100
2017-04-17,3.36,3.36,3.36,3.36,0.03,1,3000,1,10080
2017-04-18,3.33,3.31,3.33,3.31,-0.05,-1,23000,4,76440
2017-04-19,3.36,3.35,3.36,3.34,0.04,1,54000,5,181110
2017-04-20,3.32,3.31,3.32,3.31,-0.04,-1,20000,2,66300
2017-04-21,3.3,3.28,3.3,3.28,-0.03,-1,34000,5,111820
2017-04-24,3.2,3.23,3.23,3.2,-0.05,-1,11000,2,35230
2017-04-25,3.23,3.2,3.23,3.2,-0.03,-1,90000,3,288400
2017-04-26,3.15,3.07,3.15,3.07,-0.13,-1,63000,8,194470
2017-04-27,3.11,3.11,3.11,3.11,0.04,1,10000,1,31100
2017-04-28,3.13,3.12,3.13,3.12,0.01,1,15000,2,46900
2017-05-02,3.07,3.02,3.07,3.01,-0.1,-1,146000,8,445070
2017-05-03,3.02,3.02,3.03,3.0,0.0,0,101000,9,303830
2017-05-04,2.93,2.92,2.93,2.92,-0.1,-1,27000,5,78960
2017-05-05,2.9,2.89,2.9,2.85,-0.03,-1,68000,14,194760
2017-05-08,2.86,2.87,2.87,2.85,-0.02,-1,190000,5,544400
2017-05-09,2.86,2.85,2.86,2.85,-0.02,-1,50000,4,142700
2017-05-10,2.84,2.83,2.84,2.83,-0.02,-1,20000,2,56700
2017-05-11,2.82,2.81,2.82,2.81,-0.02,-1,106000,12,298660
2017-05-12,2.83,2.85,2.85,2.83,0.04,1,117000,8,333100
2017-05-15,2.86,2.86,2.86,2.86,0.01,1,9000,2,25740
2017-05-16,2.85,2.87,2.88,2.85,0.01,1,72000,7,206640
2017-05-17,2.93,2.93,2.95,2.93,0.06,1,93000,10,273810
2017-05-18,3.07,3.09,3.12,3.07,0.16,1,101000,9,312900
2017-05-19,3.03,3.0,3.05,3.0,-0.09,-1,317000,13,953930
2017-05-22,3.0,2.97,3.0,2.97,-0.03,-1,191000,8,571390
2017-05-23,3.06,3.08,3.09,3.05,0.11,1,211000,11,645300
2017-05-24,3.03,3.03,3.04,3.02,-0.05,-1,91000,11,275340
2017-05-25,3.05,3.04,3.05,3.03,0.01,1,195000,7,592850
2017-05-26,3.02,3.04,3.04,3.02,0.0,0,320000,4,972500
