date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2016-09-29,3.6,3.63,3.65,3.6,0.06,1,190000,20,689400
2016-09-30,3.62,3.64,3.64,3.62,0.01,1,44000,8,159420
2016-10-03,3.66,3.67,3.67,3.66,0.03,1,43000,5,157580
2016-10-04,3.67,3.67,3.68,3.67,0.0,0,53000,6,194930
2016-10-05,3.81,3.8,3.82,3.8,0.13,1,80000,9,304720
2016-10-06,3.85,3.85,3.85,3.85,0.05,1,10000,1,38500
2016-10-07,3.86,3.86,3.86,3.86,0.01,1,12000,2,46320
2016-10-11,3.85,3.83,3.85,3.83,-0.03,-1,37000,5,142310
2016-10-12,3.84,3.84,3.84,3.84,0.01,1,28000,3,107520
2016-10-13,3.81,3.81,3.81,3.81,-0.03,-1,1000,1,3810
2016-10-14,3.83,3.83,3.83,3.83,0.02,1,15000,2,57450
2016-10-17,3.82,3.81,3.82,3.81,-0.02,-1,20000,3,76300
2016-10-18,3.82,3.8,3.82,3.8,-0.01,-1,40000,4,152600
2016-10-19,3.82,3.83,3.83,3.82,0.03,1,15000,2,57350
2016-10-20,3.8,3.8,3.8,3.8,-0.03,-1,5000,1,19000
2016-10-24,3.79,3.79,3.79,3.79,-0.01,-1,10000,1,37900
2016-10-25,3.8,3.8,3.8,3.8,0.01,1,2000,1,7600
2016-10-26,3.77,3.77,3.77,3.77,-0.03,-1,22000,4,82940
2016-10-28,3.77,3.77,3.77,3.77,-0.01,-1,6000,1,22620
2016-10-31,3.77,3.77,3.77,3.77,0.0,0,11000,2,41470
2016-11-02,3.72,3.69,3.72,3.69,-0.07,-1,77000,5,284950
2016-11-03,3.69,3.69,3.69,3.69,0.0,0,9000,1,33210
2016-11-04,3.68,3.68,3.68,3.68,-0.01,-1,30000,1,110400
2016-11-07,3.71,3.72,3.72,3.71,0.04,1,115000,10,426900
2016-11-08,3.75,3.75,3.75,3.75,0.03,1,8000,1,30000
2016-11-09,3.78,3.6,3.78,3.6,-0.15,-1,66000,3,238500
2016-11-10,3.7,3.73,3.78,3.7,0.13,1,82000,4,307260
2016-11-11,3.8,3.8,3.8,3.8,0.07,1,3000,2,11400
2016-11-14,3.92,3.92,3.92,3.92,0.12,1,10000,1,39200
2016-11-16,3.91,3.91,3.91,3.91,-0.01,-1,10000,1,39100
2016-11-25,4.08,4.08,4.08,4.08,0.04,1,20000,3,81600
2016-11-29,4.05,4.05,4.05,4.05,0.0,0,5000,1,20250
2016-12-06,4.09,4.09,4.09,4.09,0.01,1,5000,1,20450
2016-12-07,4.12,4.12,4.12,4.12,0.03,1,10000,1,41200
2016-12-13,4.15,4.15,4.15,4.15,-0.01,-1,5000,1,20750
2016-12-22,4.25,4.25,4.25,4.25,0.02,1,10000,1,42500
2017-01-04,4.1,4.1,4.1,4.1,-0.01,-1,3000,1,12300
2017-01-06,4.07,4.07,4.07,4.07,0.0,0,15000,6,61050
2017-01-19,4.02,4.03,4.03,4.02,0.03,1,2000,2,8050
2017-02-03,4.06,4.06,4.06,4.06,0.02,1,2000,1,8120
2017-02-06,4.04,4.04,4.04,4.04,-0.02,-1,2000,1,8080
2017-02-09,3.96,3.96,3.96,3.96,-0.03,-1,3000,1,11880
2017-02-14,4.02,4.02,4.02,4.02,0.01,1,3000,1,12060
2017-02-15,4.04,4.06,4.06,4.04,0.04,1,10000,3,40490
2017-02-16,4.02,4.02,4.02,4.02,-0.04,-1,4000,1,16080
2017-02-20,4.02,4.02,4.02,4.02,0.01,1,1000,1,4020
2017-02-24,3.98,3.98,3.98,3.98,-0.03,-1,9000,4,35820
2017-03-01,3.99,3.99,3.99,3.99,0.01,1,3000,1,11970
2017-03-02,3.97,3.98,3.98,3.97,-0.01,-1,5000,2,19890
2017-03-03,4.0,4.0,4.0,4.0,0.02,1,1000,1,4000
2017-03-07,4.01,4.01,4.01,4.01,0.01,1,6000,1,24060
2017-03-08,4.06,4.06,4.06,4.06,0.05,1,7000,2,28420
2017-03-09,4.06,4.08,4.08,4.06,0.02,1,10000,2,40700
2017-03-20,4.05,4.05,4.05,4.05,-0.02,-1,1000,1,4050
2017-03-27,4.08,4.08,4.08,4.08,0.06,1,1000,1,4080
2017-04-10,4.04,4.05,4.05,4.04,0.03,1,6000,2,24290
2017-04-12,3.95,3.97,3.98,3.95,-0.07,-1,11000,3,43580
2017-04-13,3.96,3.96,3.96,3.96,-0.01,-1,2000,1,7920
2017-04-17,3.95,3.95,3.95,3.95,-0.01,-1,14000,2,55300
2017-04-18,3.98,3.98,3.98,3.98,0.03,1,2000,1,7960
2017-04-19,3.95,3.94,3.95,3.94,-0.04,-1,6000,2,23690
2017-04-24,3.98,4.02,4.02,3.98,0.03,1,15000,2,59900
2017-04-25,4.01,4.02,4.02,4.01,0.0,0,21000,2,84310
2017-04-26,4.08,4.08,4.08,4.08,0.06,1,5000,1,20400
2017-05-16,4.18,4.18,4.18,4.18,-0.01,-1,5000,5,20900
2017-06-03,4.02,4.02,4.02,4.02,-0.06,-1,4000,1,16080
2017-06-05,4.02,4.02,4.02,4.02,0.0,0,3000,1,12060
