date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2011-07-08,9.75,9.3,9.95,9.25,0.6,1,29000,12,278800
2011-07-11,9.4,9.45,9.45,9.4,0.15,1,4000,3,37750
2011-07-12,9.4,9.7,10.3,9.3,0.25,1,29000,17,280650
2011-07-13,10.4,12.0,12.0,10.4,2.3,1,58000,17,671200
2011-07-14,15.0,12.3,15.0,12.2,0.3,1,45000,13,566100
2011-07-15,13.2,13.2,13.2,13.2,0.9,1,1000,1,13200
2011-07-18,12.1,12.5,13.1,12.0,-0.7,-1,94000,10,1186900
2011-07-19,13.5,12.6,13.5,12.6,0.1,1,10000,6,131200
2011-07-20,13.1,12.8,13.1,12.3,0.2,1,10000,6,125700
2011-07-21,13.5,14.6,14.8,13.5,1.8,1,16000,5,224600
2011-07-22,15.3,16.4,16.6,15.3,1.8,1,9000,5,145200
2011-07-25,16.4,16.1,16.4,16.1,-0.3,-1,6000,3,97200
2011-07-26,17.8,17.6,17.8,17.6,1.5,1,18000,5,317400
2011-07-27,17.1,17.1,17.2,17.1,-0.5,-1,110000,3,1884000
2011-07-28,17.4,17.4,17.4,17.4,0.3,1,1000,1,17400
2011-07-29,19.4,19.2,20.2,19.2,1.8,1,65000,6,1289000
2011-08-01,20.2,20.2,20.2,20.2,1.0,1,1000,1,20200
2011-08-02,19.1,19.0,19.1,19.0,-1.2,-1,16000,3,304500
2011-08-03,18.6,18.6,18.6,18.6,-0.4,-1,1000,1,18600
2011-08-04,19.3,19.3,19.3,19.3,0.7,1,1000,1,19300
2011-08-05,15.9,15.9,15.9,15.9,-3.4,-1,3000,3,47700
2011-08-08,16.3,15.1,16.3,14.2,-0.8,-1,110000,10,1653200
2011-08-09,13.4,13.7,13.8,12.9,-1.4,-1,67000,8,875500
2011-08-10,16.5,16.2,16.5,16.2,2.5,1,6000,2,97500
2011-08-11,16.7,18.1,18.1,16.7,1.9,1,20000,5,352700
2011-08-12,18.8,18.9,19.2,18.8,0.8,1,73000,11,1391100
2011-08-15,19.2,19.0,19.2,19.0,0.1,1,17000,3,325000
2011-08-16,20.1,19.6,20.2,19.6,0.6,1,27000,6,541400
2011-08-17,20.0,20.0,20.0,20.0,0.4,1,2000,2,40000
2011-08-18,21.1,20.2,21.1,20.2,0.2,1,18000,4,368100
2011-08-19,20.0,18.8,20.0,18.8,-1.4,-1,2000,2,38800
2011-08-22,19.1,18.2,19.3,16.9,-0.6,-1,291000,25,5053600
2011-08-23,18.7,21.2,21.2,18.7,3.0,1,232000,18,4728700
2011-08-24,21.8,22.9,22.9,21.8,1.7,1,78000,7,1773000
2011-08-25,21.7,21.7,21.7,21.7,-1.2,-1,2000,1,43400
2011-08-26,21.2,20.6,21.7,20.2,-1.1,-1,170000,17,3558100
2011-08-29,20.7,21.1,21.2,20.7,0.5,1,26000,9,546200
2011-08-30,22.2,22.2,22.2,22.2,1.1,1,1000,1,22200
2011-08-31,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-09-01,22.5,22.6,22.6,22.5,1.1,1,2000,2,45100
2011-09-02,23.1,25.6,25.6,23.1,3.0,1,7000,5,171500
2011-09-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-09-06,24.5,23.6,24.6,23.6,-2.0,-1,630000,17,15216100
2011-09-07,25.2,25.2,25.2,25.2,1.6,1,1000,1,25200
2011-09-08,27.5,27.5,27.5,27.5,2.3,1,1000,1,27500
2011-09-09,27.6,28.5,28.5,27.6,1.0,1,2000,2,56100
2011-09-13,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-09-14,27.9,27.6,27.9,27.6,1.1,1,4000,2,111300
2011-09-15,28.0,27.6,28.0,27.6,0.0,0,2000,2,55600
2011-09-16,26.2,26.2,26.2,26.2,-1.4,-1,1000,1,26200
2011-09-19,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-09-20,26.0,28.2,28.3,26.0,2.2,1,147000,10,4096500
2011-09-21,29.0,29.5,29.5,29.0,1.3,1,80000,4,2340000
2011-09-22,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-09-23,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-09-26,24.2,22.5,24.2,22.5,-2.0,-1,170000,6,3964000
2011-09-27,26.3,26.3,26.3,26.3,3.8,1,1000,1,26300
2011-09-28,27.5,26.6,27.5,26.6,0.3,1,126000,9,3431600
2011-09-29,25.0,25.2,25.2,25.0,-1.4,-1,85000,3,2138000
2011-09-30,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-10-03,22.0,19.4,22.0,18.7,-2.9,-1,8000,3,162300
2011-10-04,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011-10-05,21.2,21.2,21.2,21.2,1.7,1,2000,2,42400
