date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2010-09-08,0.43,0.43,0.43,0.43,-0.37,-1,11000,2,4730
2010-09-09,0.45,0.45,0.45,0.45,0.02,1,308000,5,138600
2010-09-10,0.45,0.47,0.47,0.45,0.02,1,318000,5,143300
2010-09-14,0.41,0.43,0.43,0.41,-0.04,-1,103000,3,42250
2010-09-15,0.4,0.42,0.42,0.4,-0.01,-1,109000,2,43800
2010-09-16,0.44,0.47,0.47,0.43,0.05,1,521000,11,227300
2010-09-17,0.43,0.43,0.43,0.43,-0.04,-1,310000,4,133300
2010-09-24,0.39,0.41,0.41,0.39,-0.02,-1,199000,3,77630
2010-09-27,0.37,0.37,0.37,0.37,-0.04,-1,229000,4,84730
2010-09-28,0.35,0.35,0.35,0.35,-0.02,-1,30000,1,10500
2010-09-30,0.34,0.36,0.36,0.34,0.01,1,199000,3,67680
2010-10-01,0.35,0.35,0.35,0.15,-0.01,-1,199000,11,69450
2010-10-04,0.31,0.3,0.31,0.3,-0.05,-1,4000,2,1230
2010-10-05,0.27,0.27,0.27,0.27,-0.03,-1,1000,1,270
2010-10-06,0.26,0.26,0.26,0.26,-0.01,-1,2000,1,520
2010-10-08,0.25,0.25,0.25,0.25,-0.01,-1,99000,1,24750
2010-10-11,0.23,0.08,0.23,0.08,-0.17,-1,61000,5,11780
2010-10-12,0.17,0.19,0.19,0.17,0.11,1,111000,3,21070
2010-10-13,0.17,0.18,0.18,0.17,-0.01,-1,397000,5,67500
2010-10-14,0.13,0.14,0.14,0.13,-0.04,-1,694000,8,91220
2010-10-15,0.12,0.13,0.13,0.12,-0.01,-1,100000,2,12010
2010-10-18,0.12,0.2,0.2,0.12,0.07,1,199000,3,23960
2010-10-20,0.13,0.1,0.13,0.1,-0.1,-1,694000,8,90190
2010-10-22,0.12,0.12,0.12,0.12,0.02,1,102000,2,12240
2010-11-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-11-08,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-11-09,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-11-10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-11-11,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-11-12,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010-11-15,0.0,0.0,0.0,0.0,0.0,0,0,0,0
