date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2014-09-17,0.93,0.93,0.93,0.93,0.1,1,22000,2,20460
2014-09-18,0.92,0.89,0.92,0.89,-0.04,-1,75000,2,67350
2014-09-19,0.9,0.88,0.9,0.88,-0.01,-1,20000,2,17800
2014-09-23,0.96,0.96,0.96,0.96,0.1,1,115000,3,110400
2014-09-24,0.87,0.87,0.87,0.87,-0.09,-1,10000,1,8700
2014-09-25,0.99,0.85,0.99,0.85,-0.02,-1,86000,5,75450
2014-09-30,0.88,0.79,0.88,0.79,-0.08,-1,61000,3,52170
2014-10-01,0.72,0.74,0.77,0.72,-0.05,-1,223000,6,166460
2014-10-02,0.72,0.9,0.9,0.72,0.16,1,1177000,14,931310
2014-10-03,0.89,0.91,0.91,0.89,0.01,1,1095000,10,994470
2014-10-06,0.88,0.89,0.89,0.88,-0.02,-1,349000,4,309620
2014-10-07,0.87,0.86,0.87,0.86,-0.03,-1,43000,3,37190
2014-10-08,0.84,0.85,0.85,0.84,-0.01,-1,66000,2,55770
2014-10-09,0.65,0.71,0.71,0.59,-0.14,-1,933000,9,571220
2014-10-13,0.56,0.46,0.56,0.46,-0.25,-1,132000,2,64020
2014-10-14,0.43,0.58,0.58,0.43,0.12,1,628000,6,357740
2014-10-15,0.59,0.53,0.6,0.53,-0.05,-1,180000,8,98670
2014-10-16,0.39,0.51,0.51,0.39,-0.02,-1,340000,5,142410
2014-10-17,0.52,0.47,0.54,0.47,-0.04,-1,563000,9,286590
2014-10-20,0.5,0.5,0.5,0.5,0.03,1,99000,1,49500
2014-10-21,0.51,0.49,0.53,0.49,-0.01,-1,221000,4,112370
2014-10-22,0.56,0.68,0.68,0.53,0.19,1,26000,3,14080
2014-10-23,0.65,0.69,0.7,0.65,0.01,1,440000,5,296400
2014-10-24,0.77,0.69,0.77,0.69,0.0,0,410000,5,288900
2014-10-27,0.6,0.6,0.6,0.6,-0.09,-1,5000,1,3000
2014-10-29,0.56,0.56,0.56,0.56,-0.04,-1,40000,1,22400
2014-10-30,0.6,0.58,0.61,0.58,0.02,1,245000,5,147100
2014-10-31,0.58,0.55,0.58,0.55,-0.03,-1,85000,2,49150
2014-11-03,0.61,0.65,0.65,0.61,0.1,1,60000,3,38600
2014-11-04,0.63,0.59,0.63,0.59,-0.06,-1,108000,3,67810
2014-11-05,0.72,0.77,0.82,0.72,0.18,1,247000,6,190900
2014-11-06,0.74,0.71,0.74,0.71,-0.06,-1,20000,3,14450
2014-11-07,0.7,0.63,0.7,0.63,-0.08,-1,25000,2,17150
2014-11-10,0.64,0.64,0.64,0.64,0.01,1,10000,1,6400
2014-11-11,0.72,0.69,0.72,0.68,0.05,1,125000,4,89450
2014-11-12,0.75,0.63,0.75,0.63,-0.06,-1,20000,2,13800
2014-11-13,0.67,0.67,0.67,0.67,0.04,1,20000,1,13400
2014-11-14,0.71,0.71,0.71,0.71,0.04,1,100000,1,71000
2014-11-18,0.68,0.56,0.68,0.56,-0.09,-1,34000,3,20780
2014-11-19,0.65,0.69,0.69,0.65,0.13,1,17000,2,11130
2014-11-20,0.68,0.69,0.69,0.68,0.0,0,65000,2,44700
2014-11-21,0.8,0.73,0.8,0.73,0.04,1,117000,10,90840
2014-11-24,0.74,0.7,0.74,0.7,-0.03,-1,180000,5,130450
2014-11-25,0.65,0.64,0.65,0.64,-0.06,-1,55000,3,35430
2014-11-26,0.66,0.65,0.66,0.65,0.01,1,30000,5,19700
2014-11-27,0.58,0.58,0.58,0.58,-0.07,-1,15000,1,8700
2014-11-28,0.52,0.48,0.52,0.48,-0.1,-1,307000,7,154530
2014-12-01,0.43,0.46,0.51,0.43,-0.02,-1,426000,5,200360
2014-12-02,0.45,0.41,0.45,0.41,-0.05,-1,289000,5,129070
2014-12-03,0.41,0.44,0.44,0.4,0.03,1,54000,3,22760
2014-12-04,0.44,0.42,0.44,0.42,-0.02,-1,17000,3,7360
2014-12-05,0.42,0.43,0.43,0.42,0.01,1,20000,2,8500
2014-12-09,0.3,0.24,0.3,0.24,-0.15,-1,125000,8,31900
2014-12-10,0.27,0.28,0.28,0.26,0.04,1,246000,7,66480
2014-12-11,0.27,0.3,0.3,0.27,0.02,1,201000,3,57290
2014-12-12,0.32,0.32,0.32,0.31,0.02,1,340000,5,108700
2014-12-15,0.26,0.24,0.26,0.24,-0.08,-1,171000,4,43060
2014-12-16,0.24,0.27,0.27,0.24,0.03,1,84000,4,22080
2014-12-17,0.27,0.24,0.27,0.24,-0.03,-1,220000,2,53400
2014-12-18,0.27,0.27,0.28,0.27,0.03,1,61000,3,16970
2014-12-19,0.31,0.31,0.31,0.31,0.04,1,40000,1,12400
2014-12-22,0.31,0.31,0.31,0.31,0.0,0,50000,1,15500
2014-12-24,0.31,0.39,0.39,0.31,0.08,1,377000,4,122390
2014-12-25,0.37,0.33,0.37,0.33,-0.06,-1,330000,4,113900
2014-12-26,0.28,0.26,0.28,0.26,-0.07,-1,4000,2,1080
2014-12-27,0.28,0.28,0.28,0.28,0.02,1,10000,1,2800
2014-12-30,0.34,0.34,0.34,0.34,0.05,1,5000,1,1700
2015-01-05,0.28,0.27,0.28,0.27,-0.03,-1,15000,3,4150
2015-01-06,0.24,0.24,0.24,0.24,-0.03,-1,5000,1,1200
2015-01-08,0.25,0.27,0.27,0.25,0.03,1,59000,5,14830
2015-01-09,0.37,0.46,0.51,0.37,0.19,1,196000,11,87970
2015-01-12,0.5,0.46,0.53,0.46,0.0,0,129000,10,65010
2015-01-13,0.45,0.44,0.51,0.44,-0.02,-1,51000,5,23730
2015-01-14,0.47,0.62,0.66,0.47,0.18,1,137000,9,86150
2015-01-15,0.51,0.46,0.51,0.45,-0.16,-1,146000,8,72710
2015-01-16,0.46,0.36,0.46,0.36,-0.1,-1,82000,3,30280
2015-01-19,0.39,0.38,0.39,0.38,0.02,1,85000,3,32350
2015-01-20,0.39,0.41,0.45,0.39,0.03,1,34000,3,14540
2015-01-21,0.42,0.42,0.42,0.42,0.01,1,5000,1,2100
2015-01-22,0.52,0.56,0.56,0.52,0.14,1,42000,3,22640
2015-01-23,0.69,0.74,0.77,0.69,0.18,1,51000,6,37690
2015-01-26,0.62,0.58,0.62,0.58,-0.16,-1,21000,3,12610
2015-01-27,0.5,0.43,0.5,0.38,-0.15,-1,101000,9,42500
2015-01-28,0.36,0.36,0.36,0.36,-0.07,-1,10000,1,3600
2015-01-29,0.29,0.26,0.29,0.26,-0.1,-1,85000,4,24050
2015-01-30,0.34,0.33,0.34,0.32,0.07,1,35000,4,11600
2015-02-02,0.29,0.29,0.3,0.29,-0.04,-1,80000,5,23400
2015-02-03,0.31,0.29,0.31,0.29,0.0,0,20000,2,6000
2015-02-04,0.38,0.33,0.38,0.32,0.04,1,70000,5,23500
2015-02-05,0.29,0.26,0.29,0.26,-0.07,-1,20000,2,5500
2015-02-06,0.27,0.2,0.27,0.19,-0.06,-1,117000,12,25130
2015-02-09,0.17,0.21,0.21,0.16,0.01,1,90000,8,16700
2015-02-10,0.18,0.16,0.19,0.16,-0.05,-1,170000,13,29300
2015-02-11,0.18,0.15,0.18,0.14,-0.01,-1,260000,16,42300
2015-02-12,0.17,0.13,0.17,0.13,-0.02,-1,220000,8,31750
2015-02-13,0.14,0.16,0.17,0.14,0.03,1,140000,5,23300
2015-02-24,0.08,0.05,0.08,0.05,-0.11,-1,262000,11,16800
2015-02-25,0.05,0.03,0.05,0.03,-0.02,-1,230000,10,9100
2015-02-26,0.04,0.04,0.04,0.04,0.01,1,90000,4,3600
