date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2015-11-23,0.96,0.97,0.97,0.96,-0.37,-1,10000,2,9650
2015-11-24,0.97,1.01,1.03,0.97,0.04,1,1739000,38,1765290
2015-11-25,0.99,0.96,1.0,0.95,-0.05,-1,1223000,26,1199570
2015-11-26,0.95,0.95,0.96,0.94,-0.01,-1,498000,8,477800
2015-11-27,0.92,0.93,0.93,0.91,-0.02,-1,45000,4,41450
2015-11-30,0.94,0.92,0.94,0.91,-0.01,-1,573000,6,537060
2015-12-01,0.89,0.84,0.89,0.84,-0.08,-1,488000,5,432940
2015-12-02,0.87,0.87,0.87,0.87,0.03,1,23000,2,20010
2015-12-03,0.83,0.83,0.83,0.83,-0.04,-1,3000,1,2490
2015-12-04,0.88,0.88,0.89,0.88,0.05,1,64000,3,56420
2015-12-07,0.86,0.86,0.87,0.85,-0.02,-1,107000,6,92350
2015-12-08,0.82,0.91,0.92,0.82,0.05,1,1450000,12,1284300
2015-12-09,0.93,0.99,0.99,0.91,0.08,1,2252000,23,2090600
2015-12-10,0.98,0.99,1.01,0.98,0.0,0,1295000,14,1280050
2015-12-11,0.96,1.01,1.02,0.96,0.02,1,511000,18,508670
2015-12-14,1.01,1.0,1.02,0.97,-0.01,-1,754000,15,751840
2015-12-15,0.9,0.97,0.98,0.9,-0.03,-1,598000,8,579380
2015-12-16,0.96,0.98,0.98,0.95,0.01,1,153000,8,149100
2015-12-17,0.96,0.95,0.97,0.95,-0.03,-1,175000,8,167520
2015-12-18,0.95,0.97,0.97,0.93,0.02,1,169000,7,159650
2015-12-21,0.97,0.95,0.97,0.95,-0.02,-1,50000,4,47700
2015-12-22,0.95,0.96,0.96,0.95,0.01,1,20000,2,19100
2015-12-23,0.99,1.02,1.04,0.97,0.06,1,335000,13,341520
2015-12-24,1.03,1.03,1.03,1.0,0.01,1,545000,5,560420
2015-12-25,0.99,1.0,1.0,0.99,-0.03,-1,585000,7,584550
2015-12-28,0.96,0.97,0.97,0.96,-0.03,-1,22000,2,21320
2015-12-29,0.96,0.96,0.96,0.96,-0.01,-1,6000,1,5760
2015-12-30,0.96,0.99,0.99,0.96,0.03,1,24000,3,23540
2015-12-31,0.97,0.96,0.97,0.96,-0.03,-1,11000,2,10570
2016-01-04,0.94,0.94,0.94,0.94,-0.02,-1,10000,1,9400
2016-01-05,0.9,0.87,0.91,0.87,-0.07,-1,230000,4,208800
2016-01-06,0.88,0.88,0.88,0.88,0.01,1,3000,1,2640
2016-01-07,0.91,0.93,0.93,0.91,0.05,1,26000,3,24060
2016-01-08,0.9,0.91,0.91,0.9,-0.02,-1,9000,2,8160
2016-01-11,0.93,0.93,0.93,0.93,0.02,1,10000,1,9300
2016-01-12,0.98,1.02,1.03,0.98,0.09,1,68000,6,68290
2016-01-13,1.01,1.04,1.04,1.0,0.02,1,65000,4,65600
2016-01-18,1.06,1.06,1.06,1.06,0.01,1,1000,1,1060
2016-01-19,0.99,0.99,0.99,0.99,-0.07,-1,1000,1,990
2016-01-20,1.01,1.02,1.02,1.01,0.03,1,21000,2,21410
2016-01-21,1.01,1.01,1.01,1.01,-0.01,-1,1000,1,1010
2016-01-25,0.93,0.93,0.93,0.93,-0.07,-1,20000,1,18600
2016-01-28,0.92,0.92,0.92,0.91,0.0,0,201000,6,184020
2016-01-29,0.9,0.87,0.9,0.87,-0.05,-1,150000,2,131970
2016-02-03,0.89,0.9,0.9,0.88,0.01,1,151000,3,134390
2016-02-15,0.82,0.82,0.82,0.82,-0.08,-1,200000,3,164000
2016-02-17,0.76,0.76,0.76,0.76,-0.04,-1,40000,3,30400
2016-02-18,0.71,0.71,0.71,0.7,-0.05,-1,76000,6,53810
2016-02-19,0.68,0.68,0.68,0.68,-0.03,-1,30000,2,20400
2016-02-24,0.68,0.67,0.68,0.67,0.0,0,110000,5,74300
2016-02-25,0.67,0.68,0.68,0.67,0.01,1,74000,2,50310
2016-02-26,0.65,0.65,0.65,0.65,-0.03,-1,73000,1,47450
2016-03-01,0.64,0.64,0.64,0.64,-0.01,-1,50000,1,32000
2016-03-03,0.64,0.64,0.64,0.64,0.02,1,16000,1,10240
2016-03-10,0.52,0.52,0.52,0.52,-0.03,-1,10000,1,5200
2016-03-16,0.52,0.52,0.52,0.52,-0.03,-1,16000,1,8320
2016-03-31,0.46,0.46,0.46,0.46,0.0,0,50000,1,23000
2016-04-15,0.56,0.56,0.56,0.56,0.03,1,5000,1,2800
2016-04-21,0.52,0.52,0.52,0.52,0.02,1,8000,1,4160
2016-04-22,0.5,0.5,0.5,0.5,-0.02,-1,99000,1,49500
2016-04-26,0.42,0.45,0.45,0.42,-0.03,-1,107000,2,45180
2016-04-27,0.41,0.41,0.41,0.41,-0.04,-1,5000,1,2050
2016-04-28,0.44,0.44,0.44,0.44,0.03,1,5000,1,2200
2016-04-29,0.51,0.51,0.51,0.51,0.07,1,6000,2,3060
2016-05-03,0.45,0.48,0.48,0.45,-0.03,-1,435000,7,202830
2016-05-04,0.47,0.5,0.5,0.46,0.02,1,207000,3,96080
2016-05-05,0.52,0.46,0.52,0.46,-0.04,-1,110000,3,56750
2016-05-09,0.57,0.61,0.61,0.57,0.13,1,544000,7,326590
2016-05-10,0.62,0.63,0.63,0.62,0.02,1,50000,2,31100
2016-05-11,0.62,0.69,0.69,0.62,0.06,1,40000,2,26200
2016-05-12,0.73,0.73,0.73,0.73,0.04,1,20000,1,14600
