date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2016-08-08,5.65,5.66,5.66,5.63,0.02,1,400000,11,2259200
2016-08-09,5.7,5.72,5.72,5.7,0.06,1,400000,8,2284000
2016-08-10,5.68,5.67,5.68,5.67,-0.05,-1,400000,7,2270000
2016-08-11,5.74,5.76,5.76,5.74,0.09,1,370000,9,2127800
2016-08-12,5.72,5.72,5.72,5.72,-0.04,-1,435000,10,2488200
2016-08-15,5.72,5.99,5.99,5.72,0.27,1,395000,9,2302900
2016-08-16,5.99,5.94,5.99,5.94,-0.05,-1,430000,7,2556700
2016-08-17,5.94,5.98,5.98,5.9,0.04,1,358000,11,2140680
2016-08-18,5.94,5.96,5.96,5.94,-0.02,-1,376000,13,2240860
2016-08-19,5.85,5.93,5.93,5.85,-0.03,-1,350000,7,2065500
2016-08-22,5.93,5.93,5.93,5.93,0.0,0,340000,7,2016200
2016-08-23,5.91,5.92,5.92,5.91,-0.01,-1,480000,15,2838600
2016-08-24,5.88,5.87,5.89,5.83,-0.05,-1,407000,12,2393120
2016-08-25,5.86,5.87,5.87,5.86,0.0,0,400000,8,2347000
2016-08-26,5.86,5.84,5.86,5.84,-0.03,-1,400000,8,2340000
2016-08-29,5.82,5.84,5.84,5.82,0.0,0,300000,6,1749000
2016-08-30,5.84,5.84,5.84,5.84,0.0,0,430000,21,2511200
2016-08-31,5.85,5.84,5.86,5.84,0.0,0,369000,11,2158160
2016-09-01,5.84,5.85,5.85,5.84,0.01,1,383000,8,2238520
2016-09-02,5.83,5.84,5.84,5.83,-0.01,-1,408000,15,2382640
2016-09-05,5.87,5.83,5.87,5.83,-0.01,-1,303000,8,1769610
2016-09-06,5.9,5.9,5.9,5.9,0.07,1,200000,5,1180000
2016-09-07,5.91,5.92,5.92,5.91,0.02,1,400000,11,2367000
2016-09-08,5.88,5.88,5.88,5.88,-0.04,-1,340000,13,1999200
2016-09-09,5.91,5.92,5.92,5.91,0.04,1,360000,14,2129600
2016-09-10,5.77,5.77,5.77,5.77,-0.15,-1,405000,9,2336850
2016-09-12,5.72,5.7,5.72,5.7,-0.07,-1,403000,12,2297140
2016-09-13,5.72,5.72,5.72,5.72,0.02,1,400000,12,2288000
2016-09-14,5.76,5.76,5.76,5.76,0.04,1,390000,8,2246400
2016-09-19,5.7,5.73,5.73,5.7,-0.03,-1,400000,12,2286000
2016-09-20,5.73,5.73,5.73,5.73,0.0,0,350000,7,2005500
2016-09-21,5.74,5.74,5.74,5.74,0.01,1,300000,15,1722000
2016-09-22,5.81,5.81,5.81,5.81,0.07,1,330000,9,1917300
2016-09-23,5.81,5.81,5.81,5.81,0.0,0,111000,5,644910
2016-09-26,5.74,5.74,5.74,5.74,-0.07,-1,120000,4,688800
2016-09-29,5.68,5.68,5.68,5.68,-0.06,-1,100000,3,568000
2016-09-30,5.69,5.7,5.7,5.69,0.02,1,101000,3,575690
2016-10-03,5.73,5.73,5.73,5.73,0.03,1,110000,3,630300
2016-10-04,5.73,5.73,5.73,5.73,0.0,0,100000,2,573000
2016-10-05,,,,,0.0,0,0,0,0
2016-10-06,5.76,5.76,5.76,5.76,0.0,0,120000,4,691200
2016-10-07,5.75,5.75,5.75,5.75,-0.01,-1,120000,5,690000
2016-10-11,5.8,5.8,5.8,5.8,0.05,1,100000,2,580000
2016-10-12,5.71,5.71,5.71,5.71,-0.09,-1,100000,2,571000
2016-10-13,5.75,5.75,5.75,5.75,0.04,1,101000,3,580750
2016-10-14,5.75,5.75,5.75,5.75,0.0,0,100000,2,575000
2016-10-17,5.8,5.8,5.8,5.8,0.05,1,100000,2,580000
2016-10-18,5.73,5.73,5.74,5.73,-0.07,-1,111000,4,637030
2016-10-19,5.83,5.83,5.83,5.83,0.1,1,100000,2,583000
2016-10-20,5.84,5.84,5.84,5.84,0.01,1,100000,2,584000
2016-10-21,5.87,5.87,5.87,5.87,0.03,1,100000,2,587000
2016-10-24,5.87,5.87,5.87,5.87,0.0,0,200000,4,1174000
2016-10-25,5.94,5.94,5.94,5.94,0.07,1,100000,2,594000
2016-10-26,5.93,5.93,5.93,5.93,-0.01,-1,100000,5,593000
2016-10-27,5.9,5.9,5.91,5.9,-0.03,-1,101000,3,596400
2016-10-28,5.93,5.93,5.93,5.93,0.03,1,101000,3,598930
2016-10-31,5.86,5.86,5.86,5.86,-0.07,-1,100000,2,586000
2016-11-01,5.91,5.91,5.91,5.91,0.05,1,100000,2,591000
2016-11-02,5.91,5.91,5.91,5.91,0.0,0,100000,2,591000
2016-11-03,5.9,5.9,5.9,5.9,-0.01,-1,100000,2,590000
2016-11-04,5.94,5.94,5.94,5.94,0.04,1,100000,2,594000
2016-11-07,5.84,5.84,5.84,5.84,-0.1,-1,100000,2,584000
2016-11-08,5.96,5.96,5.96,5.96,0.12,1,100000,2,596000
2016-11-09,,,,,0.0,0,0,0,0
2016-11-10,5.99,5.99,5.99,5.99,0.0,0,100000,2,599000
2016-11-11,6.0,6.0,6.0,6.0,0.01,1,100000,2,600000
2016-11-14,6.03,6.04,6.04,6.03,0.04,1,126000,3,760780
2016-11-15,6.03,6.03,6.03,6.03,-0.01,-1,100000,2,603000
2016-11-16,6.0,5.99,6.0,5.99,-0.04,-1,3000,2,17990
2016-11-17,6.01,6.05,6.05,6.01,0.06,1,109000,3,659090
2016-11-18,6.08,6.08,6.08,6.08,0.03,1,100000,2,608000
2016-11-21,6.08,6.09,6.09,6.07,0.01,1,103000,4,627230
2016-11-22,6.12,6.12,6.12,6.12,0.03,1,100000,2,612000
