date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2016-10-07,20.0,20.13,20.15,20.0,0.15,1,1936000,180,38832750
2016-10-11,20.15,20.07,20.15,20.03,-0.06,-1,80000,23,1605380
2016-10-12,20.1,20.1,20.12,20.07,0.03,1,145000,16,2910930
2016-10-13,20.14,20.04,20.14,20.03,-0.06,-1,1590000,46,31904690
2016-10-14,20.07,20.12,20.13,20.07,0.08,1,584000,24,11743490
2016-10-17,20.15,20.16,20.18,20.15,0.04,1,135000,21,2721800
2016-10-18,20.1,20.07,20.1,20.05,-0.09,-1,337000,17,6762160
2016-10-19,20.05,20.01,20.05,19.97,-0.06,-1,446000,23,8912210
2016-10-20,19.89,19.89,19.9,19.85,-0.12,-1,832000,31,16537200
2016-10-21,19.96,20.02,20.03,19.96,0.13,1,156000,8,3121530
2016-10-24,20.0,20.0,20.02,20.0,-0.02,-1,133000,9,2662520
2016-10-25,20.0,19.97,20.01,19.97,-0.03,-1,515000,13,10294150
2016-10-26,19.8,19.82,19.82,19.79,-0.15,-1,615000,18,12177970
2016-10-27,19.95,19.94,19.95,19.93,0.12,1,583000,14,11627350
2016-10-28,19.89,19.86,19.89,19.86,-0.08,-1,20000,2,397500
2016-10-31,19.8,19.76,19.8,19.76,-0.1,-1,122000,8,2413860
2016-11-01,19.77,19.76,19.77,19.76,0.0,0,835000,16,16503210
2016-11-02,19.65,19.52,19.65,19.52,-0.24,-1,633000,25,12398610
2016-11-03,19.43,19.34,19.43,19.31,-0.18,-1,484000,33,9375800
2016-11-04,19.34,19.43,19.45,19.34,0.09,1,635000,25,12337080
2016-11-07,19.53,19.58,19.58,19.49,0.15,1,279000,33,5451800
2016-11-08,19.7,19.67,19.7,19.66,0.09,1,283000,32,5569420
2016-11-09,19.83,18.95,19.83,18.88,-0.72,-1,2375000,135,46243310
2016-11-10,19.72,19.67,19.75,19.61,0.72,1,675000,54,13252330
2016-11-11,19.83,20.04,20.15,19.83,0.37,1,1534000,82,30716790
2016-11-14,20.54,20.82,20.82,20.54,0.78,1,1836000,113,38117160
2016-11-15,20.62,20.6,20.63,20.52,-0.22,-1,609000,48,12534700
2016-11-16,20.51,20.49,20.51,20.47,-0.11,-1,306000,23,6270160
2016-11-17,20.54,20.58,20.59,20.53,0.09,1,540000,23,11105890
2016-11-18,20.76,20.87,20.9,20.76,0.29,1,1797000,62,37443940
2016-11-21,20.87,20.86,20.87,20.83,-0.01,-1,34000,14,709120
2016-11-22,20.68,20.72,20.74,20.68,-0.14,-1,348000,15,7206940
2016-11-23,20.77,20.79,20.8,20.76,0.07,1,23000,10,477760
2016-11-24,21.24,21.28,21.33,21.23,0.49,1,331000,53,7050270
2016-11-25,21.4,21.42,21.53,21.4,0.14,1,764000,90,16401670
2016-11-28,21.29,21.14,21.29,21.07,-0.28,-1,459000,61,9693760
2016-11-29,21.13,21.17,21.19,21.13,0.03,1,425000,30,8991050
2016-11-30,21.18,21.16,21.21,21.11,-0.01,-1,1039000,29,21993950
2016-12-01,21.47,21.47,21.62,21.47,0.31,1,1783000,84,38453080
2016-12-02,21.44,21.48,21.5,21.43,0.01,1,599000,39,12854960
2016-12-05,21.37,21.44,21.5,21.37,-0.04,-1,327000,26,7015570
2016-12-06,21.65,21.53,21.65,21.48,0.09,1,30000,15,645910
2016-12-07,21.58,21.6,21.6,21.56,0.07,1,182000,23,3928120
2016-12-08,21.42,21.4,21.43,21.38,-0.2,-1,543000,31,11618340
2016-12-09,21.58,21.54,21.58,21.54,0.14,1,276000,30,5951620
