date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2017-01-17,19.88,20.05,20.05,19.85,0.12,1,1124000,120,22400840
2017-01-18,20.15,20.05,20.15,20.05,0.0,0,663000,84,13337890
2017-01-19,19.72,19.71,19.74,19.63,-0.34,-1,1074000,58,21155980
2017-01-20,19.53,19.43,19.53,19.41,-0.28,-1,1081000,61,21044960
2017-01-23,19.51,19.44,19.56,19.44,0.01,1,203000,28,3955640
2017-01-24,19.72,19.76,19.78,19.7,0.32,1,197000,35,3891970
2017-02-02,19.16,19.2,19.23,19.11,-0.56,-1,396000,69,7584070
2017-02-03,19.12,19.04,19.12,19.04,-0.16,-1,275000,48,5245730
2017-02-06,19.08,19.05,19.08,19.03,0.01,1,42000,15,800670
2017-02-07,19.31,19.36,19.37,19.3,0.31,1,192000,68,3711120
2017-02-08,19.44,19.5,19.55,19.43,0.14,1,503000,35,9803550
2017-02-09,19.85,19.84,19.86,19.84,0.34,1,327000,30,6490460
2017-02-10,19.53,19.47,19.53,19.43,-0.37,-1,132000,22,2569740
2017-02-13,19.45,19.41,19.45,19.37,-0.06,-1,91000,10,1766110
2017-02-14,19.31,19.29,19.31,19.26,-0.12,-1,161000,15,3104520
2017-02-15,19.07,19.05,19.07,19.04,-0.24,-1,205000,52,3908010
2017-02-16,19.03,18.99,19.04,18.98,-0.06,-1,83000,32,1577800
