date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2017-03-14,19.95,19.9,19.95,19.9,-0.07,-1,1544000,105,30757050
2017-03-15,19.99,19.96,19.99,19.95,0.06,1,636000,49,12694690
2017-03-16,19.72,19.73,19.74,19.72,-0.23,-1,289000,45,5703570
2017-03-17,19.64,19.67,19.67,19.64,-0.06,-1,564000,33,11082560
2017-03-20,19.61,19.62,19.65,19.61,-0.05,-1,360000,38,7072390
2017-03-21,19.59,19.64,19.64,19.59,0.02,1,438000,22,8601380
2017-03-22,19.61,19.55,19.61,19.54,-0.09,-1,471000,18,9213080
2017-03-23,19.56,19.54,19.56,19.54,-0.01,-1,423000,20,8265620
2017-03-24,19.57,19.59,19.59,19.57,0.05,1,697000,13,13653340
2017-03-27,19.51,19.45,19.51,19.45,-0.14,-1,41000,22,798040
2017-03-28,19.45,19.43,19.45,19.43,-0.02,-1,627000,23,12182880
2017-03-29,19.54,19.55,19.56,19.54,0.12,1,183000,22,3575990
2017-03-30,19.62,19.61,19.63,19.61,0.06,1,878000,28,17226340
2017-03-31,19.69,19.7,19.73,19.69,0.09,1,47000,21,926580
2017-04-05,19.78,19.72,19.78,19.71,0.02,1,27000,10,532670
2017-04-06,19.71,19.71,19.71,19.69,-0.01,-1,11000,6,216760
2017-04-07,19.74,19.73,19.75,19.73,0.02,1,220000,7,4340740
2017-04-10,19.9,19.88,19.9,19.85,0.15,1,191000,18,3795430
2017-04-11,19.85,19.85,19.85,19.85,-0.03,-1,11000,4,218350
2017-04-12,19.74,19.75,19.76,19.74,-0.1,-1,924000,17,18257990
2017-04-13,19.66,19.63,19.66,19.62,-0.12,-1,126000,16,2475860
2017-04-14,19.7,19.7,19.7,19.7,0.07,1,3000,3,59100
2017-04-17,19.67,19.67,19.68,19.67,-0.03,-1,1204000,19,23694680
2017-04-18,19.65,19.67,19.67,19.65,0.0,0,1010000,16,19856600
2017-04-19,19.54,19.55,19.55,19.53,-0.12,-1,631000,18,12329540
2017-04-20,19.54,19.54,19.54,19.54,-0.01,-1,5000,1,97700
2017-04-21,19.55,19.55,19.58,19.55,0.01,1,6000,4,117390
2017-04-24,19.45,19.43,19.46,19.43,-0.12,-1,68000,12,1322260
2017-04-25,19.33,19.4,19.43,19.33,-0.03,-1,326000,15,6309250
2017-04-26,19.35,19.35,19.36,19.34,-0.05,-1,56000,14,1083550
2017-04-27,19.37,19.37,19.38,19.36,0.02,1,434000,16,8406480
2017-04-28,19.43,19.44,19.44,19.42,0.07,1,605000,16,11749170
2017-05-02,19.41,19.39,19.41,19.39,-0.05,-1,61000,8,1183990
