date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2017-05-22,1.27,1.26,1.27,1.26,-0.04,-1,2000,2,2530
2017-05-23,1.26,1.23,1.26,1.22,-0.03,-1,401000,12,499110
2017-05-24,1.22,1.21,1.22,1.2,-0.02,-1,382000,10,465000
2017-05-25,1.16,1.13,1.16,1.13,-0.08,-1,527000,23,605590
2017-05-26,1.13,1.14,1.15,1.13,0.01,1,81000,10,92150
2017-05-31,1.13,1.19,1.19,1.13,0.05,1,151000,13,175930
2017-06-01,1.18,1.14,1.18,1.14,-0.05,-1,212000,14,246770
2017-06-02,1.09,1.09,1.11,1.08,-0.05,-1,259000,19,284340
2017-06-03,1.08,1.05,1.08,1.05,-0.04,-1,45000,4,47700
2017-06-05,1.07,1.01,1.07,1.01,-0.04,-1,300000,12,314760
