date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2017-05-22,7.95,8.05,8.1,7.95,0.65,1,13000,3,105050
2017-05-23,7.95,7.85,7.95,7.85,-0.2,-1,21000,2,165950
2017-05-24,,,,,0.0,0,0,0,0
2017-05-25,8.5,8.45,8.5,8.45,0.0,0,17000,2,144400
2017-05-26,6.6,6.55,6.7,6.5,-1.9,-1,43000,5,284800
2017-05-31,7.0,6.9,7.0,6.9,0.35,1,52000,5,361000
2017-06-01,6.6,6.55,6.6,6.55,-0.35,-1,41000,3,270100
2017-06-02,6.1,6.1,6.1,6.1,-0.45,-1,1000,1,6100
2017-06-03,6.1,6.15,6.15,6.1,0.05,1,25000,2,153250
2017-06-05,6.0,6.3,6.3,6.0,0.15,1,2000,2,12300
