date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2017-05-22,1.52,1.51,1.52,1.51,0.0,0,80000,2,121200
2017-05-23,1.48,1.47,1.48,1.38,-0.04,-1,196000,11,282730
2017-05-24,1.48,1.44,1.51,1.44,-0.03,-1,211000,9,314050
2017-05-25,1.43,1.29,1.43,1.27,-0.15,-1,358000,13,469670
2017-05-26,1.25,1.31,1.32,1.25,0.02,1,250000,7,324370
2017-05-31,1.3,1.32,1.33,1.3,0.01,1,249000,24,325390
2017-06-01,1.3,1.28,1.3,1.28,-0.04,-1,384000,7,495810
2017-06-02,,,,,0.0,0,0,0,0
2017-06-03,1.22,1.15,1.22,1.15,0.0,0,224000,8,260290
2017-06-05,1.1,1.09,1.1,1.08,-0.06,-1,288000,7,312300
