date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2017-01-17,60.5,60.5,60.6,60.4,0.0,0,23298492,1599,1409571135
2017-01-18,60.7,61.0,61.0,60.7,0.5,1,1355015,759,82505115
2017-01-19,61.2,61.2,61.3,61.1,0.2,1,846692,484,51814348
2017-01-20,61.2,61.2,61.3,61.0,0.0,0,759493,338,46470606
2017-01-23,61.2,61.2,61.3,61.1,0.0,0,416598,256,25490873
2017-01-24,61.3,61.1,61.3,61.1,-0.1,-1,741194,289,45351960
2017-02-02,61.3,61.1,61.3,61.1,0.0,0,714642,315,43710608
2017-02-03,61.1,61.2,61.2,61.1,0.1,1,164600,149,10064605
2017-02-06,61.1,61.2,61.3,61.1,0.0,0,567453,197,34728450
2017-02-07,61.2,61.3,61.3,61.2,0.1,1,593882,292,36384344
2017-02-08,61.3,61.5,61.5,61.3,0.2,1,282622,194,17357448
2017-02-09,61.5,61.6,61.7,61.4,0.1,1,223516,146,13763473
2017-02-10,61.6,61.8,61.9,61.6,0.2,1,543316,221,33548484
2017-02-13,61.8,61.8,61.9,61.7,0.0,0,219983,172,13587038
2017-02-14,61.9,61.8,61.9,61.8,0.0,0,482747,146,29854214
2017-02-15,61.8,61.8,61.9,61.8,0.0,0,283320,126,17512493
2017-02-16,61.9,61.8,61.9,61.8,0.0,0,311170,112,19234195
