date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2016-10-18,183.0,181.0,188.0,179.0,0.0,0,3141762,2472,575556065
2016-10-19,182.5,184.0,187.5,182.0,3.0,1,1666750,1311,308292250
2016-10-20,186.0,181.0,186.5,180.5,-3.0,-1,805908,673,147183164
2016-10-21,181.0,183.0,185.0,180.5,2.0,1,556948,462,101977484
2016-10-24,182.5,172.0,183.0,168.0,-11.0,-1,1376300,1111,236716200
2016-10-25,170.0,165.0,171.0,163.0,-7.0,-1,1056408,817,174815339
2016-10-26,164.5,165.5,167.0,162.5,0.5,1,502184,443,82771044
2016-10-27,163.5,160.5,165.0,158.0,-5.0,-1,733500,616,117735500
2016-10-28,159.0,157.0,160.0,155.5,-3.5,-1,799510,576,125516832
2016-10-31,157.0,163.0,163.0,157.0,6.0,1,516200,366,82967100
2016-11-01,163.5,163.0,164.5,160.5,0.0,0,319200,231,51951800
2016-11-02,162.0,156.0,162.0,155.0,-7.0,-1,566100,507,88783500
2016-11-03,156.0,147.0,156.5,146.0,-9.0,-1,560800,408,83782400
2016-11-04,147.0,145.0,150.0,142.0,-2.0,-1,306100,241,44173148
2016-11-07,150.0,155.0,157.0,149.0,10.0,1,720750,617,110289250
2016-11-08,155.0,155.5,156.5,153.5,0.5,1,527600,435,81607600
2016-11-09,154.0,145.0,155.5,143.0,-10.5,-1,605225,485,89804186
2016-11-10,148.5,149.0,151.5,145.0,4.0,1,341516,286,50429206
2016-11-11,147.0,142.0,147.0,140.5,-7.0,-1,357249,283,50957854
2016-11-14,140.0,139.5,142.5,134.5,-2.5,-1,366110,330,50495730
2016-11-15,139.5,143.0,143.5,139.0,3.5,1,151110,136,21481505
2016-11-16,144.0,143.0,145.5,143.0,0.0,0,106300,100,15338200
2016-11-17,145.0,144.5,145.0,143.5,1.5,1,77090,72,11113595
2016-11-18,144.5,143.5,144.5,142.0,-1.0,-1,104000,91,14904000
2016-11-21,143.5,142.5,144.0,142.5,-1.0,-1,77100,74,11052900
2016-11-22,137.5,141.0,142.5,137.5,-1.5,-1,94200,88,13266800
2016-11-23,141.0,140.0,143.0,138.5,-1.0,-1,151483,121,21227586
2016-11-24,141.0,140.5,143.5,140.5,0.5,1,83303,80,11773026
2016-11-25,140.5,140.5,141.5,139.5,0.0,0,64567,64,9047730
2016-11-28,141.5,154.5,154.5,141.5,14.0,1,797598,588,119854391
2016-11-29,154.5,151.5,154.5,149.5,-3.0,-1,331640,295,50368957
2016-11-30,152.0,155.0,156.0,152.0,3.5,1,308500,289,47602000
2016-12-01,155.0,154.5,156.0,151.0,-0.5,-1,179060,154,27500800
2016-12-02,152.5,153.0,153.0,150.5,-1.5,-1,84120,83,12769920
2016-12-05,153.0,150.0,154.0,149.5,-3.0,-1,130700,119,19729700
2016-12-06,152.0,150.0,152.0,149.0,0.0,0,78100,72,11737750
2016-12-07,151.5,150.0,151.5,149.0,0.0,0,71200,65,10681100
2016-12-08,151.0,149.5,151.5,149.5,-0.5,-1,82070,80,12328570
2016-12-09,151.0,152.5,153.5,150.0,3.0,1,199121,159,30211513
2016-12-12,154.0,151.0,154.0,150.5,-1.5,-1,118100,93,17945100
2016-12-13,150.0,150.0,152.0,150.0,-1.0,-1,74000,62,11140500
2016-12-14,151.0,151.5,152.0,149.5,1.5,1,108050,91,16289600
2016-12-15,151.5,149.5,152.0,149.0,-2.0,-1,86235,80,12916250
2016-12-16,151.0,149.5,151.5,149.0,0.0,0,95500,91,14316500
2016-12-19,150.5,150.5,151.0,150.0,1.0,1,91100,82,13691550
2016-12-20,150.5,150.5,151.5,149.5,0.0,0,77230,73,11604115
2016-12-21,151.0,151.0,151.5,150.0,0.5,1,96000,87,14482500
2016-12-22,151.0,146.0,151.0,145.0,-5.0,-1,205545,178,30356070
2016-12-23,145.0,142.0,145.5,140.0,-4.0,-1,361300,271,51634749
2016-12-26,142.5,142.0,143.0,142.0,0.0,0,45869,38,6544826
2016-12-27,143.0,142.5,143.0,139.0,0.5,1,86250,74,12155250
2016-12-28,141.5,142.0,142.0,140.0,-0.5,-1,104250,81,14703750
2016-12-29,142.5,144.0,144.0,142.0,2.0,1,66155,66,9454820
2016-12-30,144.0,144.0,146.5,144.0,0.0,0,89010,81,12931940
2017-01-03,144.0,145.5,146.5,144.0,1.5,1,45145,46,6572097
2017-01-04,145.5,143.5,145.5,143.5,-2.0,-1,43120,43,6236900
2017-01-05,143.5,143.0,144.0,143.0,-0.5,-1,32250,34,4624374
2017-01-06,144.0,142.0,144.0,141.5,-1.0,-1,97008,88,13819148
2017-01-09,143.0,140.0,143.0,139.5,-2.0,-1,112541,105,15794240
2017-01-10,140.0,139.5,141.0,138.5,-0.5,-1,109250,103,15231875
2017-01-11,140.5,138.0,140.5,138.0,-1.5,-1,84008,78,11651628
2017-01-12,138.0,136.5,138.5,136.0,-1.5,-1,183650,167,25206550
2017-01-13,135.5,136.0,136.0,135.0,-0.5,-1,128620,129,17439820
2017-01-16,137.5,140.0,140.5,137.5,4.0,1,106500,105,14799500
2017-01-17,140.5,139.0,141.5,139.0,-1.0,-1,65100,52,9134900
2017-01-18,140.0,138.5,140.0,137.0,-0.5,-1,62180,63,8641520
2017-01-19,138.0,137.0,138.0,137.0,-1.5,-1,40000,31,5508000
2017-01-20,140.0,138.5,140.0,137.5,1.5,1,31500,31,4354000
