上櫃股票行情(不含鉅額交易)
Data Date:97/04/01
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,均價 ,成交股數  ,成交金額(元),成交筆數 ,最後買價,最後賣價,發行股數 ,次日參考價 , 次日漲停價 ,次日跌停價
"01006T","基泰SR","8.32","-0.18 ","8.49","8.49","8.32","8.37","154,000","1,289,710","13","8.31","8.32","0","8.32","8.90","7.74"
"1333","恩得利","14.45","-0.05 ","14.80","14.80","14.30","14.51","627,175","9,103,336","247","14.45","14.50","83,025,000","14.45","15.45","13.45"
"1336","台翰","40.10","+0.60","40.00","40.80","40.00","40.26","103,100","4,151,233","79","40.00","40.10","61,393,000","40.10","42.90","37.30"
"1558","伸興","29.90","-0.10 ","30.00","30.50","29.90","30.05","31,000","931,550","19","29.85","30.00","42,675,559","29.90","31.95","27.85"
"1565","精華","150.00","+8.50","144.00","151.00","144.00","147.79","1,025,399","151,547,951","533","149.50","150.00","50,315,884","150.00","160.50","139.50"
"1569","濱川","23.40","+0.30","23.10","23.40","22.80","23.08","13,201","304,703","13","22.85","23.45","54,659,160","23.40","25.00","21.80"
"1570","力肯","19.60","-0.35 ","20.20","20.25","19.10","19.57","33,303","651,760","27","19.35","19.60","48,230,591","19.60","20.95","18.25"
"1580","新麥","32.40","-0.20 ","32.50","32.50","32.40","32.49","15,001","487,332","10","32.30","32.60","35,170,000","32.40","34.65","30.15"
"1582","信錦","121.50","-2.00 ","124.00","124.00","121.50","122.10","36,900","4,505,400","25","121.00","121.50","41,500,000","121.50","130.00","113.00"
"1584","精剛","38.30","-0.25 ","38.90","38.90","38.30","38.48","77,000","2,963,250","51","38.30","38.40","40,000,425","38.30","40.95","35.65"
"1742","台蠟","48.40","-0.95 ","49.35","49.35","48.40","48.90","65,800","3,217,800","54","48.40","48.50","30,416,673","48.40","51.70","45.05"
"1777","生泰","34.65","-0.65 ","35.60","35.70","34.60","34.98","113,000","3,952,600","83","34.60","34.65","21,610,000","34.65","37.05","32.25"
"1781","合世","23.20","-0.20 ","23.75","23.75","23.15","23.29","60,921","1,418,583","46","23.15","23.20","34,996,670","23.20","24.80","21.60"
"1784","訊聯","69.00","-1.80 ","71.00","71.80","69.00","69.94","187,001","13,079,269","140","69.00","69.70","30,834,500","69.00","73.80","64.20"
"1785","光洋科","160.50","+1.50","160.50","165.00","160.00","163.01","4,442,886","724,247,200","2,485","160.50","161.00","152,961,215","160.50","171.50","149.50"
"1787","福盈科","13.55","-0.30 ","14.00","14.00","13.50","13.77","108,524","1,493,850","57","13.50","13.55","57,330,839","13.55","14.45","12.65"
"1815","富喬","22.00","-0.10 ","22.10","22.25","21.95","22.08","274,258","6,054,750","94","22.00","22.15","227,655,575","22.00","23.50","20.50"
"2035","唐榮","33.15","-2.45 ","35.60","35.60","33.15","33.93","1,997,136","67,769,015","800","0.00","33.15","350,000,000","33.15","35.45","30.85"
"2059","川湖","147.00","+1.00","146.00","148.00","146.00","146.93","160,099","23,523,503","121","146.50","147.00","74,376,247","147.00","157.00","137.00"
"2114","鑫永銓","42.15","-0.80 ","43.30","43.30","42.15","42.67","56,000","2,389,700","20","42.15","42.60","45,001,473","42.15","45.10","39.20"
"2221","大甲","24.60","-0.30 ","24.95","24.95","24.60","24.77","11,000","272,450","8","24.60","24.85","42,425,000","24.60","26.30","22.90"
"2916","滿心","21.30","0.00 ","21.60","21.60","21.30","21.44","67,009","1,436,941","21","21.30","21.40","42,215,343","21.30","22.75","19.85"
"2921","和樂","23.80","0.00 ","23.95","23.95","23.25","23.59","26,200","617,950","14","23.30","23.80","39,949,000","23.80","25.45","22.15"
"3064","泰偉","152.50","-6.50 ","160.50","164.50","152.00","159.61","3,037,436","484,795,772","2,185","152.50","153.00","55,984,543","152.50","163.00","142.00"
"3066","李洲","17.90","0.00 ","18.20","18.35","17.90","18.14","230,774","4,186,620","158","17.90","17.95","146,501,975","17.90","19.15","16.65"
"3067","全域","0.00","--- ","0.00","0.00","0.00","-1.00","0","0","0","16.00","16.50","29,025,240","16.90","18.05","15.75"
"3069","寶晟科","15.20","0.00 ","15.20","15.20","15.20","15.20","1,000","15,200","1","15.00","15.20","26,718,724","15.20","16.25","14.15"
"3071","協禧","8.84","-0.01 ","8.85","8.96","8.70","8.87","267,306","2,370,762","95","8.71","8.84","101,291,824","8.84","9.45","8.23"
"3073","普格","48.50","+0.50","48.50","49.00","47.70","48.30","130,775","6,316,250","79","48.00","49.00","32,228,000","48.50","51.80","45.15"
"3078","僑威","18.45","+0.05","18.60","18.65","18.45","18.58","260,181","4,833,060","98","18.45","18.50","150,400,000","18.45","19.70","17.20"
"3079","宏億","3.73","-0.28 ","3.73","3.73","3.73","3.73","81,000","302,130","16","0.00","3.73","68,662,534","3.73","3.99","3.47"
"3080","威力盟","63.20","+0.20","63.30","65.30","63.00","64.13","1,180,659","75,718,647","802","63.20","63.30","160,253,500","63.20","67.60","58.80"
"3083","網龍","106.50","-0.50 ","108.00","108.00","106.00","106.95","180,550","19,309,300","132","106.50","107.00","81,447,846","106.50","113.50","99.10"
"3085","久大","30.20","-0.40 ","31.00","31.00","30.20","30.48","144,002","4,389,061","101","30.20","30.50","40,359,138","30.20","32.30","28.10"
"3086","華義","12.10","0.00 ","12.10","12.45","12.10","12.23","167,000","2,043,150","77","12.10","12.30","60,651,000","12.10","12.90","11.30"
"3087","翔準","9.37","+0.07","9.40","9.57","9.37","9.43","352,360","3,323,298","93","9.36","9.37","285,000,000","9.37","10.00","8.72"
"3088","艾訊","45.00","-1.00 ","46.00","46.60","44.15","45.68","290,690","13,279,467","197","45.00","45.20","72,792,470","45.00","48.15","41.85"
"3089","展成","8.75","0.00 ","8.60","9.08","8.60","8.72","89,000","775,820","34","8.75","9.00","54,675,816","8.75","9.36","8.14"
"3093","港建","50.20","-0.20 ","50.00","50.20","49.70","49.89","14,004","698,699","13","49.40","50.00","34,560,852","50.20","53.70","46.70"
"3095","及成","34.30","+0.95","33.50","35.65","33.50","34.89","4,243,432","148,051,042","1,722","34.30","34.35","145,160,737","34.30","36.70","31.90"
"3099","頂倫","8.00","-0.10 ","8.16","8.30","8.00","8.16","770,280","6,288,310","232","8.00","8.05","240,281,607","8.00","8.56","7.44"
"3114","好德","19.20","+0.70","19.75","19.75","19.10","19.50","1,004,790","19,596,677","465","19.20","19.30","45,260,000","19.20","20.50","17.90"
"3115","寶島極","9.00","0.00 ","9.00","9.00","9.00","9.00","1,000","9,000","1","9.00","9.10","20,697,600","9.00","9.63","8.37"
"3126","信億","26.00","-0.20 ","26.20","26.20","26.00","26.13","3,000","78,400","3","26.00","26.40","35,189,210","26.00","27.80","24.20"
"3128","昇銳","38.80","+0.75","38.90","39.70","38.55","39.13","496,700","19,433,580","274","38.70","38.80","42,000,000","38.80","41.50","36.10"
"3144","新揚科","12.85","-0.10 ","12.95","12.95","12.65","12.75","170,245","2,170,960","60","12.80","12.85","79,406,435","12.85","13.70","12.00"
"3152","璟德","98.10","-1.90 ","99.60","101.00","97.80","99.22","986,371","97,868,696","410","98.10","98.20","61,340,140","98.10","104.50","91.30"
"3162","精確","16.50","+0.10","16.40","17.10","16.15","16.86","1,275,000","21,498,800","80","16.45","16.50","36,355,731","16.50","17.65","15.35"
"3171","天馳","10.20","+0.21","10.15","10.30","10.00","10.24","86,000","880,950","44","10.20","10.25","37,926,515","10.20","10.90","9.49"
"3188","安茂","40.60","-2.40 ","42.60","42.60","40.50","41.88","2,972,242","124,486,323","1,551","40.60","40.70","45,083,630","40.60","43.40","37.80"
"3191","和進","16.90","+1.10","16.00","16.90","16.00","16.67","1,058,364","17,637,851","338","16.90","0.00","51,440,460","16.90","18.05","15.75"
"3202","樺晟","25.30","+0.25","25.10","25.50","25.10","25.26","62,328","1,574,331","22","25.10","25.40","64,328,961","25.30","27.05","23.55"
"3205","天騵","10.15","-0.25 ","10.35","10.40","10.15","10.27","103,000","1,058,050","48","10.20","10.30","29,712,800","10.15","10.85","9.44"
"3206","志豐","16.25","+0.05","16.30","16.30","16.20","16.21","73,788","1,195,736","39","16.15","16.25","36,884,560","16.25","17.35","15.15"
"3207","耀勝","15.95","-0.05 ","16.25","16.30","15.85","16.07","37,200","597,980","26","15.95","16.10","34,525,221","15.95","17.05","14.85"
"3209","全科","19.30","+0.15","19.30","19.45","19.25","19.31","124,000","2,394,850","67","19.25","19.30","55,857,400","19.30","20.65","17.95"
"3211","順達","103.50","-3.00 ","108.00","108.00","103.50","105.48","1,807,289","190,632,411","988","103.50","104.00","101,889,096","103.50","110.50","96.30"
"3213","茂訊","107.00","+7.00","102.00","107.00","101.00","105.82","639,455","67,667,185","490","106.50","107.00","37,900,105","107.00","114.00","99.60"
