上櫃股票行情(含等價、零股、盤後、鉅額交易)
Data Date:100/12/09
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,均價 ,成交股數  ,成交金額(元),成交筆數 ,最後買價,最後賣價,發行股數 ,次日參考價 , 次日漲停價 ,次日跌停價
"006201","寶富櫃","9.19","-0.05 ","9.22","9.22","9.00","9.03","220,000","1,987,450","89","9.10","9.18","82,446,000","9.19","9.83","8.55"
"006202","寶富盈"," ---","--- ","---","---","---","19.78","0","0","0","19.53","19.85","55,999,000","19.86","21.25","18.47"
"01006T","基泰SR","12.92","-0.01 ","12.92","12.92","12.91","12.91","3,619,000","46,729,710","86","12.91","12.92","247,000,000","12.92","13.82","12.02"
"1333","恩得利","4.31","+0.05","4.26","4.31","4.14","4.22","72,000","303,550","33","4.31","4.32","102,525,625","4.31","4.61","4.01"
"1336","台翰","10.20","-0.25 ","10.45","10.45","10.00","10.11","61,750","624,275","23","10.15","10.20","66,253,230","10.20","10.90","9.49"
"1558","伸興","94.00","-0.40 ","93.20","94.30","93.20","93.50","126,450","11,823,200","87","94.00","94.40","48,388,173","94.00","100.50","87.50"
"1565","精華","337.00","-2.00 ","331.00","340.00","325.00","333.19","96,208","32,055,115","100","337.00","340.00","50,416,516","337.00","360.50","313.50"
"1566","毅金","12.05","-0.05 ","12.10","12.10","12.00","12.02","21,000","252,450","18","12.05","12.10","42,009,870","12.05","12.85","11.25"
"1569","濱川","51.50","-3.10 ","52.10","54.10","50.80","51.96","4,522,392","234,974,202","1,888","51.50","51.90","72,653,905","51.50","55.10","47.90"
"1570","力肯","4.69","-0.03 ","4.69","4.70","4.69","4.69","15,000","70,370","8","4.63","4.79","51,500,839","4.69","5.01","4.37"
"1580","新麥","89.50","0.00 ","87.00","90.00","87.00","89.30","67,084","5,990,550","50","89.20","90.00","40,713,671","89.50","95.70","83.30"
"1584","精剛","21.50","-0.30 ","21.60","21.60","21.25","21.48","258,656","5,554,816","133","21.50","21.60","79,196,460","21.50","23.00","20.00"
"1595","川寶","61.20","+1.20","58.60","61.50","57.10","59.18","269,040","15,920,460","222","61.20","61.40","36,845,189","61.20","65.40","57.00"
"1742","台蠟","17.80","-0.10 ","17.90","18.40","17.70","17.99","23,500","422,724","19","17.80","18.00","64,690,524","17.80","19.00","16.60"
"1752","南光","22.35","-0.15 ","21.25","22.70","21.25","22.40","81,000","1,814,000","39","22.35","22.40","63,000,848","22.35","23.90","20.80"
"1777","生泰","38.75","+0.25","38.05","38.95","38.00","38.29","8,500","325,450","7","38.65","38.70","23,771,000","38.75","41.45","36.05"
"1781","合世","12.40","-0.25 ","12.55","12.80","12.40","12.50","27,000","337,400","18","12.40","12.70","42,035,802","12.40","13.25","11.55"
"1784","訊聯","33.80","0.00 ","33.55","34.30","33.30","33.67","159,500","5,370,448","53","33.55","33.80","50,202,174","33.80","36.15","31.45"
"1785","光洋科","30.25","-0.25 ","30.20","30.65","29.90","30.27","350,070","10,598,073","227","30.25","30.30","374,447,832","30.25","32.35","28.15"
"1787","福盈科","13.10","+0.60","12.35","13.20","12.35","12.89","643,000","8,289,050","288","13.05","13.10","69,759,360","13.10","14.00","12.20"
"1788","杏昌","63.00","-3.00 ","62.60","64.40","62.00","62.95","218,246","13,738,366","163","63.00","63.90","35,000,000","63.00","67.40","58.60"
"1795","美時","17.25","-0.30 ","16.40","17.40","16.40","16.87","59,000","995,500","35","17.00","17.25","44,581,134","17.25","18.45","16.05"
"1799","紅電醫","11.50","-0.10 ","11.50","11.50","11.50","11.50","2,000","23,000","2","11.50","11.55","31,623,000","11.50","12.30","10.70"
"1813","寶利徠","25.70","-0.30 ","24.80","26.00","24.80","25.57","22,001","562,475","18","25.65","25.95","41,113,091","25.70","27.45","23.95"
"1815","富喬","14.40","-0.50 ","14.30","14.75","14.15","14.48","844,769","12,231,979","343","14.35","14.40","290,584,331","14.40","15.40","13.40"
"2035","唐榮","28.00","+0.05","27.90","28.35","27.90","28.16","228,000","6,421,350","113","28.00","28.20","350,000,000","28.00","29.95","26.05"
"2061","風青","27.50","+0.40","27.10","28.00","27.00","27.43","111,060","3,046,791","40","27.50","27.75","38,748,169","27.50","29.40","25.60"
"2063","世鎧","33.55","-0.05 ","33.10","33.55","33.10","33.44","87,647","2,930,609","18","33.55","33.85","34,340,450","33.55","35.85","31.25"
"2221","大甲","16.80","-0.40 ","16.25","16.95","16.25","16.57","107,011","1,772,684","74","16.80","17.00","42,425,000","16.80","17.95","15.65"
"2233","宇隆","66.10","-1.40 ","66.10","66.90","65.50","66.18","81,000","5,360,300","55","65.70","66.50","37,467,969","66.10","70.70","61.50"
"2596","綠意","13.85","-0.10 ","13.80","13.85","13.70","13.78","12,000","165,350","7","13.75","13.85","68,100,000","13.85","14.80","12.90"
"2636","台驊","22.20","-0.05 ","21.80","22.25","21.80","22.15","101,050","2,238,015","48","22.20","22.25","62,861,538","22.20","23.75","20.65"
"2718","桃園店","36.80","0.00 ","36.80","36.80","36.80","36.80","20,000","736,000","1","36.70","36.90","22,576,000","36.80","39.35","34.25"
