date_level,population,stock number,total portion
20170609_1-999,0,0,0.00
"20170609_1,000-5,000",8,"18,000",2.82
"20170609_5,001-10,000",1,"10,000",1.56
"20170609_10,001-15,000",0,0,0.00
"20170609_15,001-20,000",2,"36,000",5.64
"20170609_20,001-30,000",4,"108,000",16.92
"20170609_30,001-40,000",3,"111,000",17.39
"20170609_40,001-50,000",0,0,0.00
"20170609_50,001-100,000",0,0,0.00
"20170609_100,001-200,000",0,0,0.00
"20170609_200,001-400,000",1,"355,000",55.64
"20170609_400,001-600,000",0,0,0.00
"20170609_600,001-800,000",0,0,0.00
"20170609_800,001-1,000,000",0,0,0.00
"20170609_1,000,001以上",0,0,0.00
20170603_1-999,0,0,0.00
"20170603_1,000-5,000",8,"18,000",2.82
"20170603_5,001-10,000",1,"10,000",1.56
"20170603_10,001-15,000",0,0,0.00
"20170603_15,001-20,000",2,"36,000",5.64
"20170603_20,001-30,000",4,"108,000",16.92
"20170603_30,001-40,000",2,"73,000",11.44
"20170603_40,001-50,000",1,"42,000",6.58
"20170603_50,001-100,000",0,0,0.00
"20170603_100,001-200,000",0,0,0.00
"20170603_200,001-400,000",1,"351,000",55.01
"20170603_400,001-600,000",0,0,0.00
"20170603_600,001-800,000",0,0,0.00
"20170603_800,001-1,000,000",0,0,0.00
"20170603_1,000,001以上",0,0,0.00
20170526_1-999,0,0,0.00
"20170526_1,000-5,000",8,"18,000",2.82
"20170526_5,001-10,000",1,"10,000",1.56
"20170526_10,001-15,000",0,0,0.00
"20170526_15,001-20,000",2,"36,000",5.64
"20170526_20,001-30,000",4,"108,000",16.92
"20170526_30,001-40,000",2,"73,000",11.44
"20170526_40,001-50,000",1,"42,000",6.58
"20170526_50,001-100,000",0,0,0.00
"20170526_100,001-200,000",0,0,0.00
"20170526_200,001-400,000",1,"351,000",55.01
"20170526_400,001-600,000",0,0,0.00
"20170526_600,001-800,000",0,0,0.00
"20170526_800,001-1,000,000",0,0,0.00
"20170526_1,000,001以上",0,0,0.00
20170519_1-999,0,0,0.00
"20170519_1,000-5,000",8,"18,000",2.37
"20170519_5,001-10,000",2,"20,000",2.63
"20170519_10,001-15,000",0,0,0.00
"20170519_15,001-20,000",2,"36,000",4.74
"20170519_20,001-30,000",4,"108,000",14.24
"20170519_30,001-40,000",3,"105,000",13.85
"20170519_40,001-50,000",0,0,0.00
"20170519_50,001-100,000",0,0,0.00
"20170519_100,001-200,000",0,0,0.00
"20170519_200,001-400,000",0,0,0.00
"20170519_400,001-600,000",1,"471,000",62.13
"20170519_600,001-800,000",0,0,0.00
"20170519_800,001-1,000,000",0,0,0.00
"20170519_1,000,001以上",0,0,0.00
20170512_1-999,0,0,0.00
"20170512_1,000-5,000",7,"16,000",2.16
"20170512_5,001-10,000",2,"20,000",2.71
"20170512_10,001-15,000",0,0,0.00
"20170512_15,001-20,000",2,"36,000",4.87
"20170512_20,001-30,000",5,"140,000",18.97
"20170512_30,001-40,000",2,"75,000",10.16
"20170512_40,001-50,000",0,0,0.00
"20170512_50,001-100,000",0,0,0.00
"20170512_100,001-200,000",0,0,0.00
"20170512_200,001-400,000",0,0,0.00
"20170512_400,001-600,000",1,"451,000",61.11
"20170512_600,001-800,000",0,0,0.00
"20170512_800,001-1,000,000",0,0,0.00
"20170512_1,000,001以上",0,0,0.00
20170505_1-999,0,0,0.00
"20170505_1,000-5,000",8,"17,000",2.30
"20170505_5,001-10,000",1,"10,000",1.35
"20170505_10,001-15,000",1,"15,000",2.02
"20170505_15,001-20,000",2,"36,000",4.87
"20170505_20,001-30,000",3,"76,000",10.28
"20170505_30,001-40,000",0,0,0.00
"20170505_40,001-50,000",0,0,0.00
"20170505_50,001-100,000",0,0,0.00
"20170505_100,001-200,000",1,"109,000",14.74
"20170505_200,001-400,000",0,0,0.00
"20170505_400,001-600,000",1,"476,000",64.41
"20170505_600,001-800,000",0,0,0.00
"20170505_800,001-1,000,000",0,0,0.00
"20170505_1,000,001以上",0,0,0.00
20170428_1-999,0,0,0.00
"20170428_1,000-5,000",7,"16,000",2.12
"20170428_5,001-10,000",2,"20,000",2.65
"20170428_10,001-15,000",2,"30,000",3.98
"20170428_15,001-20,000",1,"16,000",2.12
"20170428_20,001-30,000",3,"76,000",10.09
"20170428_30,001-40,000",0,0,0.00
"20170428_40,001-50,000",0,0,0.00
"20170428_50,001-100,000",0,0,0.00
"20170428_100,001-200,000",1,"109,000",14.47
"20170428_200,001-400,000",0,0,0.00
"20170428_400,001-600,000",1,"486,000",64.54
"20170428_600,001-800,000",0,0,0.00
"20170428_800,001-1,000,000",0,0,0.00
"20170428_1,000,001以上",0,0,0.00
20170421_1-999,0,0,0.00
"20170421_1,000-5,000",8,"17,000",2.38
"20170421_5,001-10,000",2,"20,000",2.80
"20170421_10,001-15,000",2,"29,000",4.06
"20170421_15,001-20,000",1,"16,000",2.24
"20170421_20,001-30,000",2,"54,000",7.56
"20170421_30,001-40,000",0,0,0.00
"20170421_40,001-50,000",0,0,0.00
"20170421_50,001-100,000",0,0,0.00
"20170421_100,001-200,000",1,"109,000",15.26
"20170421_200,001-400,000",0,0,0.00
"20170421_400,001-600,000",1,"469,000",65.68
"20170421_600,001-800,000",0,0,0.00
"20170421_800,001-1,000,000",0,0,0.00
"20170421_1,000,001以上",0,0,0.00
20170414_1-999,0,0,0.00
"20170414_1,000-5,000",8,"21,000",3.00
"20170414_5,001-10,000",3,"28,000",4.01
"20170414_10,001-15,000",0,0,0.00
"20170414_15,001-20,000",1,"16,000",2.29
"20170414_20,001-30,000",2,"54,000",7.73
"20170414_30,001-40,000",0,0,0.00
"20170414_40,001-50,000",0,0,0.00
"20170414_50,001-100,000",0,0,0.00
"20170414_100,001-200,000",1,"144,000",20.63
"20170414_200,001-400,000",0,0,0.00
"20170414_400,001-600,000",1,"435,000",62.32
"20170414_600,001-800,000",0,0,0.00
"20170414_800,001-1,000,000",0,0,0.00
"20170414_1,000,001以上",0,0,0.00
20170407_1-999,0,0,0.00
"20170407_1,000-5,000",7,"16,000",2.29
"20170407_5,001-10,000",2,"18,000",2.57
"20170407_10,001-15,000",0,0,0.00
"20170407_15,001-20,000",1,"16,000",2.29
"20170407_20,001-30,000",2,"54,000",7.73
"20170407_30,001-40,000",0,0,0.00
"20170407_40,001-50,000",0,0,0.00
"20170407_50,001-100,000",0,0,0.00
"20170407_100,001-200,000",1,"144,000",20.63
"20170407_200,001-400,000",0,0,0.00
"20170407_400,001-600,000",1,"450,000",64.46
"20170407_600,001-800,000",0,0,0.00
"20170407_800,001-1,000,000",0,0,0.00
"20170407_1,000,001以上",0,0,0.00
20170331_1-999,0,0,0.00
