date_level,population,stock number,total portion
20170609_1-999,75,"14,556",0.02
"20170609_1,000-5,000","2,985","6,904,412",9.52
"20170609_5,001-10,000",621,"5,242,813",7.23
"20170609_10,001-15,000",187,"2,469,000",3.40
"20170609_15,001-20,000",157,"2,999,000",4.13
"20170609_20,001-30,000",136,"3,563,000",4.91
"20170609_30,001-40,000",51,"1,896,000",2.61
"20170609_40,001-50,000",55,"2,606,000",3.59
"20170609_50,001-100,000",85,"6,490,000",8.94
"20170609_100,001-200,000",40,"5,873,219",8.09
"20170609_200,001-400,000",12,"3,340,000",4.60
"20170609_400,001-600,000",4,"1,976,000",2.72
"20170609_600,001-800,000",4,"2,986,000",4.11
"20170609_800,001-1,000,000",0,0,0.00
"20170609_1,000,001以上",10,"26,154,000",36.06
20170603_1-999,73,"12,734",0.01
"20170603_1,000-5,000","3,103","7,173,374",9.13
"20170603_5,001-10,000",654,"5,484,400",6.98
"20170603_10,001-15,000",216,"2,848,800",3.62
"20170603_15,001-20,000",183,"3,507,000",4.46
"20170603_20,001-30,000",142,"3,725,000",4.74
"20170603_30,001-40,000",58,"2,157,000",2.74
"20170603_40,001-50,000",54,"2,572,000",3.27
"20170603_50,001-100,000",95,"7,124,000",9.07
"20170603_100,001-200,000",41,"6,103,692",7.77
"20170603_200,001-400,000",13,"3,552,000",4.52
"20170603_400,001-600,000",4,"1,933,000",2.46
"20170603_600,001-800,000",4,"2,985,000",3.80
"20170603_800,001-1,000,000",0,0,0.00
"20170603_1,000,001以上",11,"29,336,000",37.36
20170526_1-999,64,"10,789",0.01
"20170526_1,000-5,000","3,194","7,375,323",9.16
"20170526_5,001-10,000",695,"5,861,400",7.27
"20170526_10,001-15,000",219,"2,890,800",3.59
"20170526_15,001-20,000",194,"3,718,000",4.61
"20170526_20,001-30,000",145,"3,797,000",4.71
"20170526_30,001-40,000",64,"2,395,000",2.97
"20170526_40,001-50,000",54,"2,582,000",3.20
"20170526_50,001-100,000",99,"7,424,000",9.22
"20170526_100,001-200,000",42,"6,280,688",7.80
"20170526_200,001-400,000",16,"4,467,000",5.54
"20170526_400,001-600,000",3,"1,535,000",1.90
"20170526_600,001-800,000",4,"3,038,000",3.77
"20170526_800,001-1,000,000",0,0,0.00
"20170526_1,000,001以上",11,"29,139,000",36.19
20170519_1-999,64,"10,789",0.01
"20170519_1,000-5,000","3,335","7,696,323",9.49
"20170519_5,001-10,000",716,"6,031,400",7.44
"20170519_10,001-15,000",222,"2,942,800",3.63
"20170519_15,001-20,000",195,"3,751,000",4.63
"20170519_20,001-30,000",146,"3,832,000",4.73
"20170519_30,001-40,000",71,"2,653,000",3.27
"20170519_40,001-50,000",56,"2,677,000",3.30
"20170519_50,001-100,000",95,"6,958,000",8.58
"20170519_100,001-200,000",48,"7,054,688",8.70
"20170519_200,001-400,000",17,"4,813,000",5.94
"20170519_400,001-600,000",4,"2,107,000",2.60
"20170519_600,001-800,000",3,"2,261,000",2.79
"20170519_800,001-1,000,000",0,0,0.00
"20170519_1,000,001以上",11,"28,226,000",34.84
20170512_1-999,57,"9,284",0.01
"20170512_1,000-5,000","3,258","7,512,611",9.27
"20170512_5,001-10,000",702,"5,888,717",7.26
"20170512_10,001-15,000",213,"2,831,800",3.49
"20170512_15,001-20,000",186,"3,581,000",4.42
"20170512_20,001-30,000",153,"4,058,000",5.00
"20170512_30,001-40,000",64,"2,388,000",2.94
"20170512_40,001-50,000",60,"2,869,000",3.54
"20170512_50,001-100,000",94,"6,759,000",8.34
"20170512_100,001-200,000",41,"5,994,000",7.39
"20170512_200,001-400,000",19,"5,296,588",6.53
"20170512_400,001-600,000",5,"2,755,000",3.40
"20170512_600,001-800,000",3,"2,214,000",2.73
"20170512_800,001-1,000,000",0,0,0.00
"20170512_1,000,001以上",11,"28,857,000",35.61
20170505_1-999,54,"8,435",0.01
"20170505_1,000-5,000","3,149","7,262,011",8.85
"20170505_5,001-10,000",667,"5,620,451",6.85
"20170505_10,001-15,000",203,"2,688,800",3.27
"20170505_15,001-20,000",175,"3,351,000",4.08
"20170505_20,001-30,000",147,"3,887,000",4.73
"20170505_30,001-40,000",66,"2,449,000",2.98
"20170505_40,001-50,000",55,"2,616,000",3.18
"20170505_50,001-100,000",91,"6,763,000",8.24
"20170505_100,001-200,000",40,"5,810,000",7.08
"20170505_200,001-400,000",18,"5,064,303",6.17
"20170505_400,001-600,000",3,"1,635,000",1.99
"20170505_600,001-800,000",3,"2,212,000",2.69
"20170505_800,001-1,000,000",1,"828,000",1.00
"20170505_1,000,001以上",12,"31,819,000",38.79
20170428_1-999,52,"8,347",0.00
"20170428_1,000-5,000","3,109","7,170,838",8.43
"20170428_5,001-10,000",647,"5,468,015",6.43
"20170428_10,001-15,000",208,"2,763,800",3.25
"20170428_15,001-20,000",176,"3,372,000",3.96
"20170428_20,001-30,000",141,"3,732,000",4.38
"20170428_30,001-40,000",65,"2,421,000",2.84
"20170428_40,001-50,000",60,"2,863,000",3.36
"20170428_50,001-100,000",91,"6,772,000",7.96
"20170428_100,001-200,000",40,"5,874,000",6.90
"20170428_200,001-400,000",18,"5,056,000",5.94
"20170428_400,001-600,000",3,"1,635,000",1.92
"20170428_600,001-800,000",3,"2,236,000",2.63
"20170428_800,001-1,000,000",1,"1,000,000",1.17
"20170428_1,000,001以上",12,"34,642,000",40.74
20170421_1-999,51,"8,051",0.00
"20170421_1,000-5,000","3,243","7,519,284",8.54
"20170421_5,001-10,000",697,"5,881,865",6.68
"20170421_10,001-15,000",217,"2,892,800",3.28
"20170421_15,001-20,000",182,"3,477,000",3.95
"20170421_20,001-30,000",146,"3,865,000",4.39
"20170421_30,001-40,000",70,"2,594,000",2.94
"20170421_40,001-50,000",62,"2,951,000",3.35
"20170421_50,001-100,000",90,"6,651,000",7.55
"20170421_100,001-200,000",43,"6,241,000",7.09
"20170421_200,001-400,000",17,"4,799,000",5.45
"20170421_400,001-600,000",3,"1,635,000",1.85
"20170421_600,001-800,000",3,"2,234,000",2.53
"20170421_800,001-1,000,000",0,0,0.00
"20170421_1,000,001以上",15,"37,265,000",42.33
20170414_1-999,50,"8,210",0.00
"20170414_1,000-5,000","3,353","7,864,125",8.88
"20170414_5,001-10,000",744,"6,239,865",7.04
"20170414_10,001-15,000",240,"3,184,800",3.59
"20170414_15,001-20,000",200,"3,818,000",4.31
"20170414_20,001-30,000",167,"4,398,000",4.96
"20170414_30,001-40,000",68,"2,528,000",2.85
"20170414_40,001-50,000",66,"3,149,000",3.55
"20170414_50,001-100,000",97,"7,098,000",8.01
"20170414_100,001-200,000",41,"6,030,000",6.81
"20170414_200,001-400,000",20,"5,679,000",6.41
"20170414_400,001-600,000",3,"1,635,000",1.84
"20170414_600,001-800,000",3,"2,299,000",2.59
"20170414_800,001-1,000,000",0,0,0.00
"20170414_1,000,001以上",13,"34,583,000",39.07
20170407_1-999,51,"9,138",0.00
"20170407_1,000-5,000","3,424","8,007,197",8.25
"20170407_5,001-10,000",778,"6,484,865",6.68
