date_level,population,stock number,total portion
20170609_1-999,0,0,0.00
"20170609_1,000-5,000",3,"5,000",0.98
"20170609_5,001-10,000",0,0,0.00
"20170609_10,001-15,000",0,0,0.00
"20170609_15,001-20,000",0,0,0.00
"20170609_20,001-30,000",0,0,0.00
"20170609_30,001-40,000",0,0,0.00
"20170609_40,001-50,000",0,0,0.00
"20170609_50,001-100,000",3,"255,000",50.00
"20170609_100,001-200,000",0,0,0.00
"20170609_200,001-400,000",1,"250,000",49.01
"20170609_400,001-600,000",0,0,0.00
"20170609_600,001-800,000",0,0,0.00
"20170609_800,001-1,000,000",0,0,0.00
"20170609_1,000,001以上",0,0,0.00
20170603_1-999,0,0,0.00
"20170603_1,000-5,000",3,"5,000",0.87
"20170603_5,001-10,000",0,0,0.00
"20170603_10,001-15,000",0,0,0.00
"20170603_15,001-20,000",0,0,0.00
"20170603_20,001-30,000",0,0,0.00
"20170603_30,001-40,000",0,0,0.00
"20170603_40,001-50,000",0,0,0.00
"20170603_50,001-100,000",4,"315,000",55.26
"20170603_100,001-200,000",0,0,0.00
"20170603_200,001-400,000",1,"250,000",43.85
"20170603_400,001-600,000",0,0,0.00
"20170603_600,001-800,000",0,0,0.00
"20170603_800,001-1,000,000",0,0,0.00
"20170603_1,000,001以上",0,0,0.00
20170526_1-999,0,0,0.00
"20170526_1,000-5,000",3,"5,000",0.87
"20170526_5,001-10,000",0,0,0.00
"20170526_10,001-15,000",0,0,0.00
"20170526_15,001-20,000",0,0,0.00
"20170526_20,001-30,000",0,0,0.00
"20170526_30,001-40,000",0,0,0.00
"20170526_40,001-50,000",0,0,0.00
"20170526_50,001-100,000",2,"198,000",34.73
"20170526_100,001-200,000",1,"117,000",20.52
"20170526_200,001-400,000",1,"250,000",43.85
"20170526_400,001-600,000",0,0,0.00
"20170526_600,001-800,000",0,0,0.00
"20170526_800,001-1,000,000",0,0,0.00
"20170526_1,000,001以上",0,0,0.00
20170519_1-999,0,0,0.00
"20170519_1,000-5,000",3,"5,000",0.87
"20170519_5,001-10,000",0,0,0.00
"20170519_10,001-15,000",0,0,0.00
"20170519_15,001-20,000",0,0,0.00
"20170519_20,001-30,000",0,0,0.00
"20170519_30,001-40,000",0,0,0.00
"20170519_40,001-50,000",0,0,0.00
"20170519_50,001-100,000",2,"198,000",34.73
"20170519_100,001-200,000",1,"117,000",20.52
"20170519_200,001-400,000",1,"250,000",43.85
"20170519_400,001-600,000",0,0,0.00
"20170519_600,001-800,000",0,0,0.00
"20170519_800,001-1,000,000",0,0,0.00
"20170519_1,000,001以上",0,0,0.00
20170512_1-999,0,0,0.00
"20170512_1,000-5,000",3,"5,000",0.76
