date_level,population,stock number,total portion
20170609_1-999,18,"5,482",0.00
"20170609_1,000-5,000","4,526","12,775,618",2.98
"20170609_5,001-10,000","2,248","19,129,197",4.46
"20170609_10,001-15,000",900,"12,006,634",2.80
"20170609_15,001-20,000",909,"17,216,549",4.01
"20170609_20,001-30,000",856,"22,849,000",5.32
"20170609_30,001-40,000",474,"17,425,000",4.06
"20170609_40,001-50,000",364,"17,311,520",4.03
"20170609_50,001-100,000",794,"58,387,000",13.61
"20170609_100,001-200,000",354,"51,956,000",12.11
"20170609_200,001-400,000",173,"48,849,000",11.39
"20170609_400,001-600,000",58,"29,218,000",6.81
"20170609_600,001-800,000",17,"11,912,000",2.77
"20170609_800,001-1,000,000",14,"12,639,000",2.94
"20170609_1,000,001以上",41,"97,007,000",22.62
20170603_1-999,18,"5,089",0.00
"20170603_1,000-5,000","3,476","9,546,128",2.78
"20170603_5,001-10,000","1,523","12,877,300",3.75
"20170603_10,001-15,000",572,"7,627,963",2.22
"20170603_15,001-20,000",624,"11,752,000",3.42
"20170603_20,001-30,000",546,"14,534,000",4.23
"20170603_30,001-40,000",323,"11,905,000",3.46
"20170603_40,001-50,000",251,"11,905,520",3.46
"20170603_50,001-100,000",498,"36,688,000",10.69
"20170603_100,001-200,000",232,"34,014,000",9.91
"20170603_200,001-400,000",110,"31,351,000",9.13
"20170603_400,001-600,000",34,"16,759,000",4.88
"20170603_600,001-800,000",18,"13,089,000",3.81
"20170603_800,001-1,000,000",5,"4,442,000",1.29
"20170603_1,000,001以上",33,"126,691,000",36.91
20170526_1-999,21,"6,557",0.00
"20170526_1,000-5,000","2,621","7,093,074",1.97
"20170526_5,001-10,000","1,169","9,799,300",2.73
"20170526_10,001-15,000",518,"6,878,549",1.91
"20170526_15,001-20,000",481,"9,065,000",2.52
"20170526_20,001-30,000",485,"13,035,000",3.63
"20170526_30,001-40,000",271,"10,019,000",2.79
"20170526_40,001-50,000",206,"9,763,520",2.72
"20170526_50,001-100,000",427,"31,913,000",8.89
"20170526_100,001-200,000",198,"29,162,000",8.13
"20170526_200,001-400,000",102,"28,782,000",8.02
"20170526_400,001-600,000",37,"18,733,000",5.22
"20170526_600,001-800,000",15,"10,913,000",3.04
"20170526_800,001-1,000,000",7,"6,364,000",1.77
"20170526_1,000,001以上",25,"167,268,000",46.63
20170526_差異數調整（說明4）, ,"-108,000",-0.03
20170519_1-999,20,"6,418",0.00
"20170519_1,000-5,000","3,221","8,979,562",2.00
"20170519_5,001-10,000","1,633","13,706,300",3.05
"20170519_10,001-15,000",732,"9,729,200",2.17
"20170519_15,001-20,000",708,"13,323,000",2.97
"20170519_20,001-30,000",625,"16,568,000",3.69
"20170519_30,001-40,000",431,"15,893,000",3.54
"20170519_40,001-50,000",281,"13,259,520",2.95
"20170519_50,001-100,000",664,"49,237,000",10.98
"20170519_100,001-200,000",286,"41,939,000",9.35
"20170519_200,001-400,000",139,"38,490,000",8.58
"20170519_400,001-600,000",51,"25,575,000",5.70
"20170519_600,001-800,000",19,"13,731,000",3.06
"20170519_800,001-1,000,000",10,"8,760,000",1.95
"20170519_1,000,001以上",32,"178,990,000",39.93
20170512_1-999,18,"5,650",0.00
"20170512_1,000-5,000","3,503","9,799,097",2.21
"20170512_5,001-10,000","1,831","15,332,300",3.45
"20170512_10,001-15,000",806,"10,722,156",2.41
"20170512_15,001-20,000",805,"15,200,000",3.42
"20170512_20,001-30,000",714,"18,921,000",4.26
"20170512_30,001-40,000",446,"16,409,000",3.70
"20170512_40,001-50,000",321,"15,183,800",3.42
"20170512_50,001-100,000",719,"53,225,997",12.00
"20170512_100,001-200,000",310,"45,731,000",10.31
"20170512_200,001-400,000",148,"41,882,000",9.45
"20170512_400,001-600,000",53,"26,532,000",5.98
"20170512_600,001-800,000",19,"13,596,000",3.06
"20170512_800,001-1,000,000",8,"6,844,000",1.54
"20170512_1,000,001以上",37,"153,803,000",34.70
20170505_1-999,13,"3,879",0.00
"20170505_1,000-5,000","3,510","9,826,878",2.88
"20170505_5,001-10,000","1,652","13,923,300",4.09
"20170505_10,001-15,000",665,"8,840,690",2.59
"20170505_15,001-20,000",671,"12,707,000",3.73
"20170505_20,001-30,000",598,"15,906,000",4.67
"20170505_30,001-40,000",370,"13,641,456",4.00
"20170505_40,001-50,000",262,"12,425,797",3.65
"20170505_50,001-100,000",555,"40,595,000",11.93
"20170505_100,001-200,000",234,"34,394,000",10.11
"20170505_200,001-400,000",119,"33,892,000",9.96
"20170505_400,001-600,000",33,"16,402,000",4.82
"20170505_600,001-800,000",12,"8,641,000",2.54
"20170505_800,001-1,000,000",8,"7,296,000",2.14
"20170505_1,000,001以上",34,"111,692,000",32.83
20170428_1-999,12,"3,375",0.00
"20170428_1,000-5,000","2,969","7,978,663",3.32
"20170428_5,001-10,000","1,228","10,380,300",4.32
"20170428_10,001-15,000",463,"6,203,209",2.58
"20170428_15,001-20,000",498,"9,433,000",3.92
"20170428_20,001-30,000",436,"11,600,997",4.82
"20170428_30,001-40,000",234,"8,597,456",3.57
"20170428_40,001-50,000",179,"8,507,000",3.54
"20170428_50,001-100,000",374,"27,484,000",11.44
"20170428_100,001-200,000",163,"24,304,000",10.11
"20170428_200,001-400,000",80,"23,005,000",9.57
"20170428_400,001-600,000",21,"10,415,000",4.33
"20170428_600,001-800,000",12,"8,975,000",3.73
"20170428_800,001-1,000,000",6,"5,573,000",2.32
"20170428_1,000,001以上",19,"77,727,000",32.36
20170421_1-999,16,"3,941",0.00
"20170421_1,000-5,000","2,279","5,957,106",2.85
"20170421_5,001-10,000",868,"7,403,756",3.54
"20170421_10,001-15,000",349,"4,589,197",2.19
"20170421_15,001-20,000",332,"6,311,000",3.02
"20170421_20,001-30,000",279,"7,347,000",3.52
"20170421_30,001-40,000",162,"5,942,000",2.84
"20170421_40,001-50,000",126,"5,961,000",2.85
"20170421_50,001-100,000",243,"17,759,000",8.50
"20170421_100,001-200,000",110,"16,107,000",7.71
"20170421_200,001-400,000",54,"15,412,000",7.38
"20170421_400,001-600,000",19,"9,856,000",4.72
"20170421_600,001-800,000",7,"5,045,000",2.41
"20170421_800,001-1,000,000",3,"2,822,000",1.35
"20170421_1,000,001以上",16,"98,171,000",47.04
20170414_1-999,18,"4,698",0.00
"20170414_1,000-5,000","2,077","5,417,105",2.46
