date_level,population,stock number,total portion
20170609_1-999,0,0,0.00
"20170609_1,000-5,000",138,"303,000",4.26
"20170609_5,001-10,000",28,"223,000",3.13
"20170609_10,001-15,000",8,"107,000",1.50
"20170609_15,001-20,000",4,"79,000",1.11
"20170609_20,001-30,000",6,"158,000",2.22
"20170609_30,001-40,000",2,"68,000",0.95
"20170609_40,001-50,000",1,"45,000",0.63
"20170609_50,001-100,000",2,"130,000",1.83
"20170609_100,001-200,000",1,"118,000",1.66
"20170609_200,001-400,000",3,"799,000",11.24
"20170609_400,001-600,000",1,"406,000",5.71
"20170609_600,001-800,000",1,"619,000",8.71
"20170609_800,001-1,000,000",0,0,0.00
"20170609_1,000,001以上",2,"4,048,000",56.99
20170603_1-999,0,0,0.00
"20170603_1,000-5,000",119,"282,000",3.97
"20170603_5,001-10,000",20,"161,000",2.26
"20170603_10,001-15,000",6,"75,000",1.05
"20170603_15,001-20,000",3,"57,000",0.80
"20170603_20,001-30,000",5,"142,000",1.99
"20170603_30,001-40,000",2,"70,000",0.98
"20170603_40,001-50,000",1,"45,000",0.63
"20170603_50,001-100,000",2,"124,000",1.74
"20170603_100,001-200,000",2,"338,000",4.75
"20170603_200,001-400,000",2,"498,000",7.01
"20170603_400,001-600,000",1,"453,000",6.37
"20170603_600,001-800,000",1,"619,000",8.71
"20170603_800,001-1,000,000",0,0,0.00
"20170603_1,000,001以上",2,"4,239,000",59.67
20170526_1-999,0,0,0.00
"20170526_1,000-5,000",110,"258,000",3.63
"20170526_5,001-10,000",15,"119,000",1.67
"20170526_10,001-15,000",5,"61,000",0.85
"20170526_15,001-20,000",3,"57,000",0.80
"20170526_20,001-30,000",6,"167,000",2.35
"20170526_30,001-40,000",1,"35,000",0.49
"20170526_40,001-50,000",0,0,0.00
"20170526_50,001-100,000",2,"114,000",1.60
"20170526_100,001-200,000",2,"338,000",4.75
"20170526_200,001-400,000",2,"500,000",7.03
"20170526_400,001-600,000",1,"597,000",8.40
"20170526_600,001-800,000",1,"619,000",8.71
"20170526_800,001-1,000,000",0,0,0.00
"20170526_1,000,001以上",2,"4,238,000",59.66
20170519_1-999,0,0,0.00
"20170519_1,000-5,000",112,"268,000",3.77
