date_level,population,stock number,total portion
20170609_1-999,27,"6,000",0.06
"20170609_1,000-5,000",164,"377,000",3.90
"20170609_5,001-10,000",46,"393,000",4.07
"20170609_10,001-15,000",11,"156,000",1.61
"20170609_15,001-20,000",4,"77,000",0.79
"20170609_20,001-30,000",11,"276,000",2.86
"20170609_30,001-40,000",2,"74,000",0.76
"20170609_40,001-50,000",1,"50,000",0.51
"20170609_50,001-100,000",2,"191,000",1.98
"20170609_100,001-200,000",0,0,0.00
"20170609_200,001-400,000",3,"950,000",9.85
"20170609_400,001-600,000",4,"2,078,000",21.54
"20170609_600,001-800,000",2,"1,459,000",15.12
"20170609_800,001-1,000,000",1,"900,000",9.33
"20170609_1,000,001以上",2,"2,657,000",27.55
20170603_1-999,16,"4,000",0.04
"20170603_1,000-5,000",159,"367,000",3.80
"20170603_5,001-10,000",42,"367,000",3.80
"20170603_10,001-15,000",12,"171,000",1.77
"20170603_15,001-20,000",2,"40,000",0.41
"20170603_20,001-30,000",12,"310,000",3.21
"20170603_30,001-40,000",0,0,0.00
"20170603_40,001-50,000",1,"50,000",0.51
"20170603_50,001-100,000",3,"261,000",2.70
"20170603_100,001-200,000",0,0,0.00
"20170603_200,001-400,000",2,"550,000",5.70
"20170603_400,001-600,000",5,"2,508,000",26.00
"20170603_600,001-800,000",2,"1,460,000",15.13
"20170603_800,001-1,000,000",1,"900,000",9.33
"20170603_1,000,001以上",2,"2,656,000",27.54
20170526_1-999,15,"3,000",0.03
"20170526_1,000-5,000",160,"363,000",3.76
"20170526_5,001-10,000",39,"340,000",3.52
"20170526_10,001-15,000",12,"171,000",1.77
"20170526_15,001-20,000",5,"95,000",0.98
"20170526_20,001-30,000",11,"286,000",2.96
"20170526_30,001-40,000",0,0,0.00
"20170526_40,001-50,000",1,"50,000",0.51
"20170526_50,001-100,000",3,"266,000",2.75
"20170526_100,001-200,000",0,0,0.00
"20170526_200,001-400,000",2,"550,000",5.70
"20170526_400,001-600,000",5,"2,510,000",26.02
"20170526_600,001-800,000",2,"1,455,000",15.08
"20170526_800,001-1,000,000",1,"900,000",9.33
"20170526_1,000,001以上",2,"2,655,000",27.53
20170519_1-999,15,"2,787",0.02
"20170519_1,000-5,000",151,"337,213",3.49
"20170519_5,001-10,000",37,"323,000",3.34
"20170519_10,001-15,000",11,"156,000",1.61
"20170519_15,001-20,000",4,"77,000",0.79
"20170519_20,001-30,000",8,"207,000",2.14
"20170519_30,001-40,000",1,"38,000",0.39
"20170519_40,001-50,000",1,"50,000",0.51
"20170519_50,001-100,000",3,"256,000",2.65
"20170519_100,001-200,000",0,0,0.00
"20170519_200,001-400,000",2,"550,000",5.70
"20170519_400,001-600,000",5,"2,511,000",26.03
"20170519_600,001-800,000",2,"1,445,000",14.98
"20170519_800,001-1,000,000",1,"900,000",9.33
"20170519_1,000,001以上",2,"2,791,000",28.94
20170512_1-999,9,"2,000",0.02
"20170512_1,000-5,000",147,"323,000",3.34
"20170512_5,001-10,000",41,"356,000",3.69
"20170512_10,001-15,000",12,"169,000",1.75
"20170512_15,001-20,000",2,"40,000",0.41
"20170512_20,001-30,000",9,"232,000",2.40
"20170512_30,001-40,000",1,"38,000",0.39
"20170512_40,001-50,000",1,"50,000",0.51
"20170512_50,001-100,000",2,"192,000",1.99
"20170512_100,001-200,000",0,0,0.00
"20170512_200,001-400,000",2,"550,000",5.70
"20170512_400,001-600,000",5,"2,585,000",26.80
"20170512_600,001-800,000",2,"1,454,000",15.07
"20170512_800,001-1,000,000",1,"900,000",9.33
"20170512_1,000,001以上",2,"2,753,000",28.54
20170505_1-999,4,"1,000",0.01
"20170505_1,000-5,000",150,"330,000",3.42
"20170505_5,001-10,000",37,"327,000",3.39
"20170505_10,001-15,000",14,"197,000",2.04
"20170505_15,001-20,000",2,"40,000",0.41
"20170505_20,001-30,000",8,"202,000",2.09
"20170505_30,001-40,000",1,"40,000",0.41
"20170505_40,001-50,000",1,"50,000",0.51
"20170505_50,001-100,000",2,"193,000",2.00
"20170505_100,001-200,000",0,0,0.00
"20170505_200,001-400,000",2,"550,000",5.70
"20170505_400,001-600,000",5,"2,633,000",27.30
"20170505_600,001-800,000",2,"1,434,000",14.86
"20170505_800,001-1,000,000",1,"900,000",9.33
"20170505_1,000,001以上",2,"2,747,000",28.48
20170428_1-999,2,"1,000",0.01
"20170428_1,000-5,000",146,"325,000",3.36
"20170428_5,001-10,000",38,"340,000",3.52
"20170428_10,001-15,000",12,"169,000",1.75
"20170428_15,001-20,000",2,"40,000",0.41
"20170428_20,001-30,000",8,"202,000",2.09
"20170428_30,001-40,000",1,"40,000",0.41
"20170428_40,001-50,000",1,"50,000",0.51
"20170428_50,001-100,000",2,"193,000",2.00
"20170428_100,001-200,000",0,0,0.00
"20170428_200,001-400,000",2,"550,000",5.70
"20170428_400,001-600,000",4,"2,078,000",21.54
"20170428_600,001-800,000",3,"2,012,000",20.86
"20170428_800,001-1,000,000",1,"900,000",9.33
"20170428_1,000,001以上",2,"2,744,000",28.45
20170421_1-999,2,"1,000",0.01
"20170421_1,000-5,000",133,"289,000",2.99
"20170421_5,001-10,000",37,"328,000",3.40
"20170421_10,001-15,000",11,"156,000",1.61
"20170421_15,001-20,000",1,"20,000",0.20
"20170421_20,001-30,000",9,"227,000",2.35
"20170421_30,001-40,000",0,0,0.00
