date_level,population,stock number,total portion
20170609_1-999,0,0,0.00
"20170609_1,000-5,000",51,"77,000",1.16
"20170609_5,001-10,000",5,"50,000",0.75
"20170609_10,001-15,000",1,"11,000",0.16
"20170609_15,001-20,000",4,"77,000",1.16
"20170609_20,001-30,000",1,"25,000",0.37
"20170609_30,001-40,000",0,0,0.00
"20170609_40,001-50,000",0,0,0.00
"20170609_50,001-100,000",0,0,0.00
"20170609_100,001-200,000",0,0,0.00
"20170609_200,001-400,000",1,"351,000",5.30
"20170609_400,001-600,000",2,"1,000,000",15.11
"20170609_600,001-800,000",0,0,0.00
"20170609_800,001-1,000,000",3,"2,734,000",41.33
"20170609_1,000,001以上",2,"2,290,000",34.61
20170603_1-999,0,0,0.00
"20170603_1,000-5,000",50,"83,000",1.25
"20170603_5,001-10,000",5,"48,000",0.72
"20170603_10,001-15,000",2,"26,000",0.39
"20170603_15,001-20,000",4,"78,000",1.17
"20170603_20,001-30,000",1,"25,000",0.37
"20170603_30,001-40,000",0,0,0.00
"20170603_40,001-50,000",1,"50,000",0.75
"20170603_50,001-100,000",0,0,0.00
"20170603_100,001-200,000",0,0,0.00
"20170603_200,001-400,000",1,"351,000",5.30
"20170603_400,001-600,000",1,"500,000",7.55
"20170603_600,001-800,000",0,0,0.00
"20170603_800,001-1,000,000",3,"2,824,000",42.69
"20170603_1,000,001以上",2,"2,630,000",39.75
20170526_1-999,0,0,0.00
"20170526_1,000-5,000",56,"95,000",1.04
"20170526_5,001-10,000",5,"48,000",0.52
"20170526_10,001-15,000",1,"11,000",0.12
"20170526_15,001-20,000",3,"60,000",0.65
"20170526_20,001-30,000",3,"71,000",0.77
"20170526_30,001-40,000",0,0,0.00
"20170526_40,001-50,000",2,"99,000",1.08
"20170526_50,001-100,000",0,0,0.00
"20170526_100,001-200,000",0,0,0.00
"20170526_200,001-400,000",1,"351,000",3.85
"20170526_400,001-600,000",2,"1,000,000",10.97
"20170526_600,001-800,000",0,0,0.00
"20170526_800,001-1,000,000",2,"1,958,000",21.48
"20170526_1,000,001以上",3,"5,422,000",59.48
20170519_1-999,0,0,0.00
"20170519_1,000-5,000",72,"116,000",1.04
"20170519_5,001-10,000",8,"78,000",0.70
"20170519_10,001-15,000",2,"26,000",0.23
"20170519_15,001-20,000",3,"60,000",0.53
"20170519_20,001-30,000",4,"100,000",0.89
"20170519_30,001-40,000",1,"36,000",0.32
"20170519_40,001-50,000",1,"50,000",0.44
