date_level,population,stock number,total portion
20170616_1-999,"193,390","61,034,848",0.48
"20170616_1,000-5,000","235,183","558,859,761",4.42
"20170616_5,001-10,000","65,163","490,487,341",3.88
"20170616_10,001-15,000","24,274","299,262,414",2.37
"20170616_15,001-20,000","14,462","260,695,138",2.06
"20170616_20,001-30,000","13,647","338,647,085",2.68
"20170616_30,001-40,000","6,287","220,549,422",1.74
"20170616_40,001-50,000","4,215","193,043,500",1.52
"20170616_50,001-100,000","7,067","499,888,822",3.95
"20170616_100,001-200,000","3,052","425,765,233",3.37
"20170616_200,001-400,000","1,276","353,738,692",2.80
"20170616_400,001-600,000",391,"193,793,282",1.53
"20170616_600,001-800,000",162,"113,680,319",0.90
"20170616_800,001-1,000,000",106,"96,347,817",0.76
"20170616_1,000,001以上",585,"8,518,525,041",67.47
20170609_1-999,"193,591","61,120,158",0.48
"20170609_1,000-5,000","235,269","559,143,652",4.42
"20170609_5,001-10,000","65,147","490,413,728",3.88
"20170609_10,001-15,000","24,300","299,560,938",2.37
"20170609_15,001-20,000","14,457","260,628,294",2.06
"20170609_20,001-30,000","13,666","339,175,653",2.68
"20170609_30,001-40,000","6,278","220,207,510",1.74
"20170609_40,001-50,000","4,225","193,526,681",1.53
"20170609_50,001-100,000","7,065","500,517,854",3.96
"20170609_100,001-200,000","3,037","424,061,396",3.35
"20170609_200,001-400,000","1,270","351,906,389",2.78
"20170609_400,001-600,000",386,"191,115,600",1.51
"20170609_600,001-800,000",161,"112,901,751",0.89
"20170609_800,001-1,000,000",107,"97,148,392",0.76
"20170609_1,000,001以上",585,"8,522,890,719",67.51
20170603_1-999,"193,728","61,186,919",0.48
"20170603_1,000-5,000","235,691","560,224,564",4.43
"20170603_5,001-10,000","65,308","491,736,066",3.89
"20170603_10,001-15,000","24,349","300,113,681",2.37
"20170603_15,001-20,000","14,523","261,881,192",2.07
"20170603_20,001-30,000","13,688","339,709,863",2.69
"20170603_30,001-40,000","6,282","220,355,452",1.74
"20170603_40,001-50,000","4,229","193,641,294",1.53
"20170603_50,001-100,000","7,082","501,552,460",3.97
"20170603_100,001-200,000","3,043","425,208,367",3.36
"20170603_200,001-400,000","1,266","349,948,922",2.77
"20170603_400,001-600,000",396,"196,153,008",1.55
"20170603_600,001-800,000",158,"110,700,685",0.87
"20170603_800,001-1,000,000",105,"95,200,134",0.75
"20170603_1,000,001以上",584,"8,516,706,108",67.46
20170526_1-999,"193,883","61,262,553",0.48
"20170526_1,000-5,000","236,162","561,414,367",4.44
"20170526_5,001-10,000","65,514","493,486,485",3.9
"20170526_10,001-15,000","24,400","300,780,984",2.38
"20170526_15,001-20,000","14,601","263,368,583",2.08
"20170526_20,001-30,000","13,715","340,363,063",2.69
"20170526_30,001-40,000","6,319","221,644,793",1.75
"20170526_40,001-50,000","4,247","194,506,194",1.54
"20170526_50,001-100,000","7,121","504,496,065",3.99
"20170526_100,001-200,000","3,063","428,272,266",3.39
"20170526_200,001-400,000","1,265","350,240,481",2.77
"20170526_400,001-600,000",401,"198,993,352",1.57
"20170526_600,001-800,000",157,"109,818,318",0.86
"20170526_800,001-1,000,000",103,"93,309,134",0.73
"20170526_1,000,001以上",585,"8,502,362,077",67.34
20170519_1-999,"193,934","61,301,009",0.48
"20170519_1,000-5,000","236,884","563,152,725",4.46
"20170519_5,001-10,000","65,744","495,375,040",3.92
"20170519_10,001-15,000","24,502","302,083,034",2.39
"20170519_15,001-20,000","14,708","265,341,712",2.1
"20170519_20,001-30,000","13,828","343,398,172",2.72
"20170519_30,001-40,000","6,356","222,993,015",1.76
"20170519_40,001-50,000","4,282","196,155,508",1.55
"20170519_50,001-100,000","7,178","509,018,365",4.03
"20170519_100,001-200,000","3,087","431,360,785",3.41
"20170519_200,001-400,000","1,291","356,788,834",2.82
"20170519_400,001-600,000",398,"196,987,794",1.56
"20170519_600,001-800,000",159,"111,455,318",0.88
"20170519_800,001-1,000,000",106,"96,823,559",0.76
"20170519_1,000,001以上",583,"8,472,083,845",67.1
20170512_1-999,"194,097","61,372,987",0.48
"20170512_1,000-5,000","237,323","564,353,721",4.47
"20170512_5,001-10,000","65,935","496,940,034",3.93
"20170512_10,001-15,000","24,551","302,682,122",2.39
"20170512_15,001-20,000","14,754","266,207,693",2.1
"20170512_20,001-30,000","13,864","344,295,751",2.72
"20170512_30,001-40,000","6,390","224,166,821",1.77
"20170512_40,001-50,000","4,302","197,084,516",1.56
"20170512_50,001-100,000","7,216","511,784,770",4.05
"20170512_100,001-200,000","3,103","433,696,518",3.43
"20170512_200,001-400,000","1,295","357,829,753",2.83
"20170512_400,001-600,000",402,"199,100,238",1.57
"20170512_600,001-800,000",159,"111,471,910",0.88
"20170512_800,001-1,000,000",112,"102,305,839",0.81
"20170512_1,000,001以上",584,"8,451,026,042",66.94
20170505_1-999,"194,189","61,412,202",0.48
"20170505_1,000-5,000","238,049","566,193,217",4.48
"20170505_5,001-10,000","66,278","499,780,004",3.95
"20170505_10,001-15,000","24,637","303,791,820",2.4
"20170505_15,001-20,000","14,891","268,854,797",2.12
"20170505_20,001-30,000","13,966","347,000,261",2.74
"20170505_30,001-40,000","6,433","225,807,080",1.78
"20170505_40,001-50,000","4,321","197,958,864",1.56
"20170505_50,001-100,000","7,290","517,690,457",4.1
"20170505_100,001-200,000","3,120","436,740,270",3.45
"20170505_200,001-400,000","1,313","361,516,808",2.86
"20170505_400,001-600,000",408,"201,399,756",1.59
"20170505_600,001-800,000",160,"111,801,219",0.88
"20170505_800,001-1,000,000",110,"100,453,755",0.79
"20170505_1,000,001以上",590,"8,423,918,205",66.72
20170428_1-999,"194,310","61,462,907",0.48
"20170428_1,000-5,000","238,328","566,953,109",4.49
"20170428_5,001-10,000","66,417","500,855,329",3.96
"20170428_10,001-15,000","24,700","304,631,583",2.41
"20170428_15,001-20,000","14,940","269,777,118",2.13
"20170428_20,001-30,000","13,995","347,713,239",2.75
"20170428_30,001-40,000","6,439","226,036,013",1.79
"20170428_40,001-50,000","4,333","198,521,390",1.57
"20170428_50,001-100,000","7,316","519,537,181",4.11
"20170428_100,001-200,000","3,122","436,454,786",3.45
"20170428_200,001-400,000","1,318","363,150,264",2.87
"20170428_400,001-600,000",408,"201,118,418",1.59
"20170428_600,001-800,000",164,"114,648,515",0.9
"20170428_800,001-1,000,000",107,"97,519,775",0.77
"20170428_1,000,001以上",591,"8,415,939,088",66.66
20170421_1-999,"194,401","61,508,619",0.48
"20170421_1,000-5,000","238,721","567,980,930",4.49
"20170421_5,001-10,000","66,525","501,780,903",3.97
"20170421_10,001-15,000","24,750","305,269,250",2.41
"20170421_15,001-20,000","14,990","270,737,625",2.14
"20170421_20,001-30,000","14,025","348,589,021",2.76
"20170421_30,001-40,000","6,425","225,513,026",1.78
"20170421_40,001-50,000","4,359","199,701,790",1.58
"20170421_50,001-100,000","7,318","520,134,234",4.12
"20170421_100,001-200,000","3,154","441,357,971",3.49
"20170421_200,001-400,000","1,325","365,726,166",2.89
"20170421_400,001-600,000",411,"203,223,566",1.6
"20170421_600,001-800,000",159,"111,337,536",0.88
"20170421_800,001-1,000,000",106,"96,313,049",0.76
"20170421_1,000,001以上",594,"8,405,145,029",66.57
20170414_1-999,"194,470","61,565,068",0.48
"20170414_1,000-5,000","239,029","568,489,756",4.5
"20170414_5,001-10,000","66,581","502,089,328",3.97
"20170414_10,001-15,000","24,770","305,487,338",2.41
"20170414_15,001-20,000","14,980","270,540,948",2.14
"20170414_20,001-30,000","13,995","347,741,244",2.75
"20170414_30,001-40,000","6,400","224,605,095",1.77
"20170414_40,001-50,000","4,384","201,022,267",1.59
"20170414_50,001-100,000","7,293","517,872,254",4.1
"20170414_100,001-200,000","3,142","440,229,762",3.48
"20170414_200,001-400,000","1,308","361,292,045",2.86
"20170414_400,001-600,000",412,"204,221,691",1.61
"20170414_600,001-800,000",163,"114,397,203",0.9
"20170414_800,001-1,000,000",102,"92,587,610",0.73
"20170414_1,000,001以上",590,"8,412,177,106",66.63
20170407_1-999,"194,466","61,654,557",0.48
"20170407_1,000-5,000","239,336","569,330,204",4.5
"20170407_5,001-10,000","66,671","502,826,058",3.98
"20170407_10,001-15,000","24,743","305,157,832",2.41
"20170407_15,001-20,000","15,004","270,971,742",2.14
"20170407_20,001-30,000","13,985","347,428,471",2.75
"20170407_30,001-40,000","6,387","224,055,539",1.77
"20170407_40,001-50,000","4,372","200,417,399",1.58
"20170407_50,001-100,000","7,280","516,904,961",4.09
"20170407_100,001-200,000","3,108","435,929,834",3.45
"20170407_200,001-400,000","1,299","358,352,114",2.83
"20170407_400,001-600,000",418,"206,537,911",1.63
"20170407_600,001-800,000",156,"109,178,090",0.86
"20170407_800,001-1,000,000",101,"91,626,610",0.72
"20170407_1,000,001以上",588,"8,423,947,393",66.72
20170331_1-999,"194,049","61,702,122",0.48
"20170331_1,000-5,000","239,036","569,316,936",4.5
"20170331_5,001-10,000","66,711","503,144,595",3.98
"20170331_10,001-15,000","24,769","305,465,789",2.41
"20170331_15,001-20,000","14,997","270,844,934",2.14
"20170331_20,001-30,000","14,002","347,976,449",2.75
"20170331_30,001-40,000","6,401","224,581,143",1.77
"20170331_40,001-50,000","4,358","199,713,054",1.58
"20170331_50,001-100,000","7,272","516,163,340",4.08
"20170331_100,001-200,000","3,103","434,997,138",3.44
"20170331_200,001-400,000","1,297","357,755,462",2.83
"20170331_400,001-600,000",418,"206,353,398",1.63
"20170331_600,001-800,000",154,"107,960,747",0.85
"20170331_800,001-1,000,000",101,"91,748,822",0.72
"20170331_1,000,001以上",586,"8,426,594,786",66.74
20170324_1-999,"193,466","61,777,133",0.48
"20170324_1,000-5,000","239,056","569,554,698",4.51
