date_level,population,stock number,total portion
20170609_1-999,"13,017","768,266",0.36
"20170609_1,000-5,000","9,323","18,193,204",8.72
"20170609_5,001-10,000","1,925","12,614,378",6.05
"20170609_10,001-15,000",888,"9,931,178",4.76
"20170609_15,001-20,000",288,"4,924,337",2.36
"20170609_20,001-30,000",372,"8,611,764",4.13
"20170609_30,001-40,000",111,"3,697,808",1.77
"20170609_40,001-50,000",87,"3,803,978",1.82
"20170609_50,001-100,000",195,"13,241,122",6.35
"20170609_100,001-200,000",89,"12,320,948",5.91
"20170609_200,001-400,000",37,"10,295,460",4.93
"20170609_400,001-600,000",25,"11,959,089",5.73
"20170609_600,001-800,000",13,"8,850,658",4.24
"20170609_800,001-1,000,000",4,"3,664,220",1.75
"20170609_1,000,001以上",27,"85,574,282",41.05
20170603_1-999,"12,872","755,760",0.36
"20170603_1,000-5,000","9,285","18,240,340",8.75
"20170603_5,001-10,000","1,952","12,779,092",6.13
"20170603_10,001-15,000",912,"10,191,254",4.88
"20170603_15,001-20,000",296,"5,048,769",2.42
"20170603_20,001-30,000",375,"8,694,262",4.17
"20170603_30,001-40,000",122,"4,057,730",1.94
"20170603_40,001-50,000",85,"3,719,181",1.78
"20170603_50,001-100,000",198,"13,503,372",6.47
"20170603_100,001-200,000",89,"12,507,040",6.00
"20170603_200,001-400,000",34,"9,586,667",4.59
"20170603_400,001-600,000",26,"12,430,565",5.96
"20170603_600,001-800,000",12,"8,170,718",3.91
"20170603_800,001-1,000,000",5,"4,527,522",2.17
"20170603_1,000,001以上",27,"84,232,920",40.41
20170526_1-999,"12,860","757,946",0.36
"20170526_1,000-5,000","9,320","18,332,277",8.79
"20170526_5,001-10,000","1,973","12,936,354",6.20
"20170526_10,001-15,000",920,"10,285,614",4.93
"20170526_15,001-20,000",295,"5,034,869",2.41
"20170526_20,001-30,000",375,"8,694,122",4.17
"20170526_30,001-40,000",122,"4,026,050",1.93
"20170526_40,001-50,000",87,"3,810,841",1.82
"20170526_50,001-100,000",193,"13,124,107",6.29
"20170526_100,001-200,000",90,"12,396,538",5.94
"20170526_200,001-400,000",35,"9,662,749",4.63
"20170526_400,001-600,000",28,"13,572,625",6.51
"20170526_600,001-800,000",11,"7,439,658",3.56
